node1,node2
Frontal Mid L.4,Frontal Mid L.10
Frontal Mid L.4,Frontal Mid L.12
Frontal Mid L.4,Frontal Sup L.7
Frontal Mid L.4,Frontal Mid L.13
Frontal Mid L.4,Frontal Sup L.8
Frontal Mid L.4,Frontal Mid L.14
Frontal Mid L.4,Parietal Inf L.9
Frontal Mid L.4,Frontal Sup L.9
Frontal Mid L.4,Frontal Sup L.10
Frontal Mid L.4,Frontal Sup Medial L.5
Frontal Mid L.4,Frontal Sup L.11
Supp Motor Area L.3,Frontal Mid L.3
Supp Motor Area L.3,Supp Motor Area L.2
Supp Motor Area L.3,Supp Motor Area L.4
Supp Motor Area L.3,Supp Motor Area L.5
Supp Motor Area L.3,Frontal Mid L.9
Supp Motor Area L.3,Frontal Mid L.11
Supp Motor Area L.3,Precentral L.10
Supp Motor Area L.3,Supp Motor Area R.2
Paracentral Lobule L.2,Parietal Sup L.1
Paracentral Lobule L.2,Paracentral Lobule L.1
Paracentral Lobule L.2,Postcentral L.3
Paracentral Lobule L.2,Supp Motor Area L.2
Paracentral Lobule L.2,Parietal Sup L.5
Paracentral Lobule L.2,Precentral L.3
Paracentral Lobule L.2,Paracentral Lobule L.4
Paracentral Lobule L.2,Paracentral Lobule L.5
Paracentral Lobule L.2,Precentral L.6
Paracentral Lobule L.2,Precuneus L.7
Paracentral Lobule L.2,Precuneus L.8
Paracentral Lobule L.2,Precentral R.1
Paracentral Lobule L.2,Supp Motor Area R.1
Paracentral Lobule L.2,Supp Motor Area R.3
Paracentral Lobule L.2,Precentral R.5
Paracentral Lobule L.2,Postcentral R.11
Paracentral Lobule L.2,Precentral R.7
Paracentral Lobule L.2,Postcentral R.12
Paracentral Lobule L.2,Postcentral R.13
Frontal Mid L.8,Frontal Sup L.2
Frontal Mid L.8,Frontal Mid L.3
Frontal Mid L.8,Frontal Mid L.9
Frontal Mid L.8,Frontal Mid L.11
Frontal Mid L.8,Frontal Mid L.12
Frontal Mid L.8,Frontal Mid L.13
Frontal Mid L.8,Frontal Sup L.8
Frontal Mid L.8,Frontal Mid L.14
Frontal Mid L.8,Frontal Sup L.11
Frontal Mid L.11,Frontal Mid L.3
Frontal Mid L.11,Frontal Mid L.9
Frontal Mid L.11,Frontal Sup L.8
Frontal Mid L.11,Frontal Mid L.14
Frontal Mid L.11,Precentral L.10
Frontal Mid L.11,Precentral L.12
Frontal Mid L.11,Frontal Mid R.12
Frontal Sup L.8,Frontal Sup L.2
Frontal Sup L.8,Frontal Mid L.3
Frontal Sup L.8,Angular L.2
Frontal Sup L.8,Frontal Sup L.5
Frontal Sup L.8,Supp Motor Area L.5
Frontal Sup L.8,Frontal Mid L.9
Frontal Sup L.8,Frontal Mid L.12
Frontal Sup L.8,Frontal Mid L.13
Frontal Sup L.8,Frontal Mid L.14
Frontal Sup L.8,Parietal Inf L.9
Frontal Sup L.8,Frontal Sup L.11
Frontal Sup L.11,Frontal Sup L.2
Frontal Sup L.11,Frontal Mid L.3
Frontal Sup L.11,Angular L.2
Frontal Sup L.11,Frontal Sup L.5
Frontal Sup L.11,Supp Motor Area L.5
Frontal Sup L.11,Frontal Mid L.9
Frontal Sup L.11,Frontal Mid L.12
Frontal Sup L.11,Frontal Sup L.7
Frontal Sup L.11,Frontal Mid L.14
Frontal Sup L.11,Frontal Sup Medial L.5
Frontal Sup L.11,Frontal Sup R.2
Frontal Sup L.11,Frontal Sup R.11
Precentral L.10,Frontal Mid L.3
Precentral L.10,Supp Motor Area L.2
Precentral L.10,Supp Motor Area L.4
Precentral L.10,Precentral L.4
Precentral L.10,Frontal Mid L.9
Precentral L.10,Precentral L.11
Precentral L.10,Precentral L.12
Precentral L.10,Precentral R.11
Frontal Sup L.2,Frontal Sup L.5
Frontal Sup L.2,Supp Motor Area L.5
Frontal Sup L.2,Frontal Mid L.9
Frontal Sup L.2,Frontal Mid L.12
Frontal Sup L.2,Frontal Sup L.7
Frontal Sup L.2,Frontal Mid L.14
Frontal Sup L.2,Frontal Sup Medial L.3
Frontal Sup L.2,Frontal Sup L.9
Frontal Sup L.2,Frontal Sup Medial L.5
Frontal Sup L.2,Frontal Sup R.2
Frontal Sup L.2,Frontal Sup R.7
Frontal Sup L.2,Frontal Mid R.15
Frontal Sup L.2,Frontal Sup Medial R.3
Frontal Sup L.2,Frontal Sup Medial R.5
Frontal Sup L.2,Frontal Sup R.11
Frontal Sup L.5,Supp Motor Area L.1
Frontal Sup L.5,Supp Motor Area L.5
Frontal Sup L.5,Frontal Sup L.6
Frontal Sup L.5,Frontal Mid L.10
Frontal Sup L.5,Frontal Mid L.12
Frontal Sup L.5,Frontal Sup L.7
Frontal Sup L.5,Frontal Mid L.14
Frontal Sup L.5,Frontal Sup Medial L.3
Frontal Sup L.5,Frontal Sup L.9
Frontal Sup L.5,Frontal Sup L.10
Frontal Sup L.5,Frontal Sup Medial L.5
Frontal Sup L.5,Frontal Sup R.2
Frontal Sup L.5,Frontal Sup R.6
Frontal Sup L.5,Frontal Sup R.7
Frontal Sup L.5,Frontal Sup Medial R.3
Frontal Sup L.5,Frontal Sup R.10
Frontal Sup L.5,Frontal Sup Medial R.5
Frontal Sup L.5,Frontal Sup R.11
Supp Motor Area L.5,Supp Motor Area L.1
Supp Motor Area L.5,Supp Motor Area L.4
Supp Motor Area L.5,Frontal Mid L.9
Supp Motor Area L.5,Frontal Sup L.7
Supp Motor Area L.5,Frontal Sup Medial L.5
Supp Motor Area L.5,Supp Motor Area R.5
Supp Motor Area L.5,Frontal Sup Medial R.5
Frontal Mid L.9,Frontal Mid L.3
Frontal Mid L.9,Parietal Inf L.5
Frontal Mid L.9,Angular L.2
Frontal Mid L.9,Frontal Mid L.14
Frontal Mid L.9,Parietal Inf L.9
Frontal Mid L.9,Precentral L.7
Frontal Mid L.9,Frontal Inf Tri L.8
Frontal Mid L.9,Frontal Mid L.18
Frontal Mid L.12,Supp Motor Area L.1
Frontal Mid L.12,Frontal Sup L.6
Frontal Mid L.12,Frontal Mid L.10
Frontal Mid L.12,Frontal Sup L.7
Frontal Mid L.12,Frontal Mid L.13
Frontal Mid L.12,Frontal Mid L.14
Frontal Mid L.12,Frontal Sup L.9
Frontal Mid L.12,Frontal Sup L.10
Frontal Mid L.12,Frontal Sup Medial L.5
Frontal Sup L.7,Frontal Sup L.6
Frontal Sup L.7,Frontal Sup Medial L.3
Frontal Sup L.7,Frontal Sup L.9
Frontal Sup L.7,Frontal Sup Medial L.4
Frontal Sup L.7,Frontal Sup Medial L.5
Frontal Sup L.7,Frontal Sup R.2
Frontal Sup L.7,Frontal Sup R.6
Frontal Sup L.7,Frontal Sup R.7
Frontal Sup L.7,Frontal Sup Medial R.3
Frontal Sup L.7,Frontal Sup R.10
Frontal Sup L.7,Frontal Sup Medial R.5
Frontal Mid L.14,Frontal Mid L.3
Frontal Mid L.14,Angular L.2
Frontal Mid L.14,Frontal Sup R.2
Frontal Sup Medial L.3,Frontal Sup Medial L.1
Frontal Sup Medial L.3,Frontal Sup Medial L.2
Frontal Sup Medial L.3,Frontal Sup L.9
Frontal Sup Medial L.3,Frontal Sup L.10
Frontal Sup Medial L.3,Frontal Sup Medial L.4
Frontal Sup Medial L.3,Frontal Sup Medial L.5
Frontal Sup Medial L.3,Frontal Sup R.2
Frontal Sup Medial L.3,Frontal Sup R.6
Frontal Sup Medial L.3,Frontal Sup R.7
Frontal Sup Medial L.3,Frontal Sup Medial R.3
Frontal Sup Medial L.3,Frontal Sup R.10
Frontal Sup Medial L.3,Frontal Sup Medial R.4
Frontal Sup L.9,Frontal Sup L.6
Frontal Sup L.9,Frontal Mid L.10
Frontal Sup L.9,Frontal Sup L.10
Frontal Sup L.9,Frontal Sup Medial L.4
Frontal Sup L.9,Frontal Sup Medial L.5
Frontal Sup L.9,Frontal Sup R.7
Frontal Sup L.9,Frontal Sup Medial R.3
Frontal Sup L.9,Frontal Sup R.10
Frontal Sup L.9,Frontal Sup Medial R.4
Frontal Sup Medial L.5,Supp Motor Area L.1
Frontal Sup Medial L.5,Frontal Sup L.6
Frontal Sup Medial L.5,Frontal Sup R.2
Frontal Sup Medial L.5,Frontal Sup R.6
Frontal Sup Medial L.5,Supp Motor Area R.5
Frontal Sup Medial L.5,Frontal Sup R.7
Frontal Sup Medial L.5,Frontal Sup Medial R.3
Frontal Sup Medial L.5,Frontal Sup Medial R.5
Frontal Sup Medial L.5,Frontal Sup R.11
Frontal Sup R.2,Frontal Mid R.4
Frontal Sup R.2,Frontal Sup R.6
Frontal Sup R.2,Frontal Mid R.10
Frontal Sup R.2,Frontal Mid R.13
Frontal Sup R.2,Frontal Sup R.7
Frontal Sup R.2,Frontal Sup R.8
Frontal Sup R.2,Frontal Mid R.15
Frontal Sup R.2,Frontal Sup Medial R.3
Frontal Sup R.2,Frontal Sup R.10
Frontal Sup R.2,Frontal Sup Medial R.5
Frontal Sup R.2,Frontal Sup R.11
Frontal Sup R.7,Frontal Mid R.4
Frontal Sup R.7,Frontal Sup R.6
Frontal Sup R.7,Frontal Mid R.10
Frontal Sup R.7,Frontal Mid R.13
Frontal Sup R.7,Frontal Sup R.8
Frontal Sup R.7,Frontal Mid R.15
Frontal Sup R.7,Frontal Sup Medial R.3
Frontal Sup R.7,Frontal Sup R.10
Frontal Sup R.7,Frontal Sup Medial R.5
Frontal Sup R.7,Frontal Sup R.11
Frontal Mid R.15,Frontal Mid R.4
Frontal Mid R.15,Frontal Mid R.8
Frontal Mid R.15,Frontal Sup R.6
Frontal Mid R.15,Frontal Mid R.10
Frontal Mid R.15,Frontal Mid R.12
Frontal Mid R.15,Frontal Mid R.13
Frontal Mid R.15,Frontal Mid R.14
Frontal Mid R.15,Frontal Sup R.8
Frontal Mid R.15,Frontal Sup Medial R.3
Frontal Mid R.15,Frontal Sup Medial R.5
Frontal Mid R.15,Frontal Sup R.11
Frontal Sup Medial R.3,Frontal Sup Medial L.4
Frontal Sup Medial R.3,Frontal Sup R.6
Frontal Sup Medial R.3,Frontal Mid R.10
Frontal Sup Medial R.3,Frontal Sup Medial R.2
Frontal Sup Medial R.3,Frontal Sup R.10
Frontal Sup Medial R.3,Frontal Mid R.16
Frontal Sup Medial R.3,Frontal Sup Medial R.4
Frontal Sup Medial R.3,Frontal Sup Medial R.5
Frontal Sup Medial R.3,Frontal Sup R.11
Frontal Sup Medial R.5,Frontal Sup R.3
Frontal Sup Medial R.5,Frontal Mid R.4
Frontal Sup Medial R.5,Frontal Sup R.6
Frontal Sup Medial R.5,Supp Motor Area R.5
Frontal Sup Medial R.5,Frontal Mid R.10
Frontal Sup Medial R.5,Frontal Mid R.13
Frontal Sup Medial R.5,Frontal Mid R.14
Frontal Sup Medial R.5,Frontal Sup R.8
Frontal Sup Medial R.5,Frontal Sup R.10
Frontal Sup Medial R.5,Frontal Sup R.11
Frontal Sup R.11,Frontal Sup R.1
Frontal Sup R.11,Frontal Mid R.4
Frontal Sup R.11,Frontal Mid R.8
Frontal Sup R.11,Frontal Sup R.6
Frontal Sup R.11,Supp Motor Area R.5
Frontal Sup R.11,Frontal Mid R.13
Frontal Sup R.11,Frontal Sup R.8
SupraMarginal L.1,Temporal Sup L.1
SupraMarginal L.1,Frontal Inf Tri L.3
SupraMarginal L.1,Temporal Mid L.3
SupraMarginal L.1,Temporal Mid L.4
SupraMarginal L.1,SupraMarginal L.3
SupraMarginal L.1,Temporal Mid L.7
SupraMarginal L.1,Temporal Mid L.9
SupraMarginal L.1,Temporal Mid L.10
SupraMarginal L.1,Occipital Mid L.10
SupraMarginal L.1,Temporal Sup L.6
SupraMarginal L.1,Temporal Mid L.13
SupraMarginal L.1,Angular L.3
SupraMarginal L.1,Temporal Mid L.15
SupraMarginal L.1,Temporal Sup R.1
Temporal Sup L.1,Temporal Sup L.2
Temporal Sup L.1,Temporal Sup L.3
Temporal Sup L.1,Rolandic Oper L.3
Temporal Sup L.1,SupraMarginal L.2
Temporal Sup L.1,Temporal Mid L.4
Temporal Sup L.1,Temporal Sup L.4
Temporal Sup L.1,SupraMarginal L.3
Temporal Sup L.1,Temporal Mid L.7
Temporal Sup L.1,Temporal Sup L.5
Temporal Sup L.1,Rolandic Oper L.4
Temporal Sup L.1,Temporal Mid L.9
Temporal Sup L.1,Temporal Sup L.6
Temporal Sup L.1,Temporal Sup L.7
Temporal Sup L.1,Temporal Sup R.6
Temporal Sup L.1,Temporal Sup R.10
Frontal Inf Tri L.3,Frontal Inf Orb L.1
Frontal Inf Tri L.3,Frontal Inf Tri L.1
Frontal Inf Tri L.3,Frontal Inf Tri L.2
Frontal Inf Tri L.3,Frontal Inf Orb L.6
Frontal Inf Tri L.3,Frontal Inf Oper L.3
Frontal Inf Tri L.3,Frontal Inf Tri L.5
Frontal Inf Tri L.3,Angular L.3
Frontal Inf Tri L.3,Frontal Inf Tri L.6
Frontal Inf Tri L.3,Frontal Mid L.17
Frontal Inf Tri L.3,Frontal Inf Tri L.7
Temporal Mid L.3,Temporal Pole Sup L.3
Temporal Mid L.3,Temporal Mid L.1
Temporal Mid L.3,Temporal Mid L.2
Temporal Mid L.3,Temporal Sup L.2
Temporal Mid L.3,Temporal Mid L.7
Temporal Mid L.3,Temporal Mid L.8
Temporal Mid L.3,Temporal Mid L.9
Temporal Mid L.3,Temporal Mid L.10
Temporal Mid L.3,Temporal Sup L.8
Temporal Mid L.3,Temporal Mid L.15
Temporal Mid L.3,Temporal Sup R.3
Temporal Mid L.3,Temporal Mid R.4
Temporal Mid L.3,Temporal Mid R.15
Temporal Mid L.4,Temporal Sup L.3
Temporal Mid L.4,Temporal Sup L.4
Temporal Mid L.4,Temporal Mid L.7
Temporal Mid L.4,Temporal Mid L.9
Temporal Mid L.4,Temporal Mid L.10
Temporal Mid L.4,Temporal Sup L.6
Temporal Mid L.4,Temporal Mid L.13
Temporal Mid L.4,Temporal Sup L.7
Temporal Mid L.4,Precuneus R.1
Temporal Mid L.4,Temporal Mid R.5
SupraMarginal L.3,Parietal Inf L.2
SupraMarginal L.3,Postcentral L.7
SupraMarginal L.3,SupraMarginal L.2
SupraMarginal L.3,Temporal Sup L.6
SupraMarginal L.3,Frontal Inf Oper L.3
Temporal Mid L.7,Temporal Mid L.1
Temporal Mid L.7,Temporal Sup L.2
Temporal Mid L.7,Temporal Sup L.4
Temporal Mid L.7,Temporal Sup L.5
Temporal Mid L.7,Temporal Mid L.8
Temporal Mid L.7,Temporal Mid L.9
Temporal Mid L.7,Temporal Mid L.10
Temporal Mid L.7,Temporal Mid L.13
Temporal Mid L.7,Temporal Sup L.7
Temporal Mid L.7,Temporal Sup L.8
Temporal Mid L.7,Temporal Mid L.15
Temporal Mid L.7,Temporal Mid R.5
Temporal Mid L.7,Temporal Mid R.8
Temporal Mid L.7,Temporal Mid R.10
Temporal Mid L.9,Temporal Sup L.2
Temporal Mid L.9,Temporal Sup L.3
Temporal Mid L.9,Temporal Sup L.4
Temporal Mid L.9,Temporal Sup L.5
Temporal Mid L.9,Temporal Mid L.8
Temporal Mid L.9,Temporal Mid L.10
Temporal Mid L.9,Temporal Sup L.6
Temporal Mid L.9,Temporal Mid L.13
Temporal Mid L.9,Temporal Sup L.7
Temporal Mid L.9,Temporal Sup L.8
Temporal Mid L.9,Temporal Mid L.15
Temporal Mid L.10,Occipital Mid L.4
Temporal Mid L.10,Temporal Mid L.5
Temporal Mid L.10,Temporal Mid L.13
Temporal Mid L.10,Temporal Mid L.15
Temporal Mid L.10,Temporal Mid R.5
Temporal Mid L.10,Temporal Mid R.8
Temporal Mid L.10,Temporal Mid R.11
Temporal Mid L.10,Temporal Mid R.13
Occipital Mid L.10,Angular L.1
Occipital Mid L.10,Cuneus L.1
Occipital Mid L.10,Occipital Mid L.6
Occipital Mid L.10,Calcarine L.4
Occipital Mid L.10,Occipital Sup L.6
Occipital Mid L.10,Occipital Mid L.7
Occipital Mid L.10,Occipital Mid L.8
Occipital Mid L.10,Occipital Sup L.7
Occipital Mid L.10,Temporal Mid L.13
Occipital Mid L.10,Angular L.3
Occipital Mid L.10,Precuneus L.10
Occipital Mid L.10,Angular R.1
Occipital Mid L.10,Precuneus R.1
Occipital Mid L.10,Occipital Mid R.4
Occipital Mid L.10,Cuneus R.3
Occipital Mid L.10,Precuneus R.6
Occipital Mid L.10,Occipital Mid R.8
Occipital Mid L.10,Angular R.5
Occipital Mid L.10,Precuneus R.8
Temporal Sup L.6,Insula L.2
Temporal Sup L.6,Temporal Sup L.3
Temporal Sup L.6,Rolandic Oper L.3
Temporal Sup L.6,SupraMarginal L.2
Temporal Sup L.6,Temporal Sup L.4
Temporal Sup L.6,Temporal Sup L.7
Temporal Mid L.13,Occipital Mid L.4
Temporal Mid L.13,Calcarine L.4
Temporal Mid L.13,Occipital Mid L.8
Temporal Mid L.13,Temporal Sup R.1
Temporal Mid L.13,Precuneus R.1
Temporal Mid L.13,Temporal Mid R.5
Temporal Mid L.13,Calcarine R.4
Temporal Mid L.13,Temporal Mid R.8
Temporal Mid L.13,Temporal Mid R.11
Temporal Mid L.13,Occipital Mid R.8
Temporal Mid L.13,Temporal Mid R.13
Angular L.3,Angular L.1
Angular L.3,Parietal Inf L.5
Angular L.3,Angular L.2
Angular L.3,Occipital Mid L.6
Angular L.3,Precuneus L.9
Angular L.3,Angular R.1
Angular L.3,Angular R.5
Temporal Mid L.15,Temporal Pole Sup L.3
Temporal Mid L.15,Temporal Mid L.2
Temporal Mid L.15,Temporal Sup L.2
Temporal Mid L.15,Temporal Sup L.4
Temporal Mid L.15,Temporal Mid L.6
Temporal Mid L.15,Temporal Mid L.8
Temporal Mid L.15,Temporal Mid L.12
Temporal Mid L.15,Temporal Sup L.8
Temporal Mid L.15,Temporal Sup R.3
Temporal Mid L.15,Temporal Mid R.4
Temporal Mid L.15,Temporal Mid R.15
Temporal Sup R.1,Temporal Sup R.2
Temporal Sup R.1,Angular R.1
Temporal Sup R.1,Parietal Inf R.3
Temporal Sup R.1,Temporal Mid R.5
Temporal Sup R.1,SupraMarginal R.4
Temporal Sup R.1,Temporal Mid R.8
Temporal Sup R.1,Occipital Mid R.6
Temporal Sup R.1,Temporal Mid R.11
Temporal Sup R.1,Temporal Sup R.9
Temporal Sup R.1,Angular R.5
Fusiform L.1,Hippocampus L.1
Fusiform L.1,Temporal Inf L.6
Fusiform L.1,Temporal Inf L.8
Fusiform L.1,ParaHippocampal L.1
Fusiform L.1,Temporal Inf L.11
Fusiform L.1,Fusiform L.7
Fusiform L.1,ParaHippocampal R.1
Fusiform L.1,Fusiform R.10
Hippocampus L.1,Fusiform L.2
Hippocampus L.1,Thalamus L.1
Hippocampus L.1,Thalamus L.2
Hippocampus L.1,Fusiform L.3
Hippocampus L.1,Hippocampus L.2
Hippocampus L.1,Lingual L.3
Hippocampus L.1,Temporal Inf L.6
Hippocampus L.1,Precuneus L.6
Hippocampus L.1,ParaHippocampal L.1
Hippocampus L.1,Fusiform L.7
Hippocampus L.1,ParaHippocampal R.3
Temporal Inf L.6,Temporal Inf L.7
Temporal Inf L.6,Temporal Inf L.8
Temporal Inf L.6,Temporal Inf L.9
Temporal Inf L.6,Fusiform L.7
Temporal Inf L.8,Temporal Inf L.4
Temporal Inf L.8,Temporal Inf L.7
Temporal Inf L.8,Temporal Mid L.6
Temporal Inf L.8,Temporal Inf L.10
Temporal Inf L.8,Temporal Inf L.11
Temporal Inf L.8,Fusiform L.7
Temporal Inf L.8,ParaHippocampal R.1
Temporal Inf L.8,Temporal Inf R.5
Temporal Inf L.8,Temporal Inf R.6
Temporal Inf L.8,Fusiform R.10
ParaHippocampal L.1,Fusiform L.2
ParaHippocampal L.1,Thalamus L.2
ParaHippocampal L.1,Hippocampus L.2
ParaHippocampal L.1,Amygdala L.1
ParaHippocampal L.1,Fusiform L.7
ParaHippocampal L.1,ParaHippocampal R.3
Temporal Inf L.11,Temporal Inf L.1
Temporal Inf L.11,Temporal Inf L.2
Temporal Inf L.11,Temporal Mid L.2
Temporal Inf L.11,Temporal Inf L.5
Temporal Inf L.11,Temporal Mid L.6
Temporal Inf L.11,Temporal Inf L.10
Temporal Inf L.11,Temporal Mid L.12
Temporal Inf L.11,Temporal Mid L.14
Temporal Inf L.11,Fusiform L.7
Temporal Inf L.11,Temporal Inf R.9
Fusiform L.7,Temporal Inf L.4
Fusiform L.7,Temporal Inf L.7
Fusiform L.7,Temporal Inf L.9
Fusiform L.7,Temporal Inf L.10
ParaHippocampal R.1,Fusiform R.2
ParaHippocampal R.1,Fusiform R.3
ParaHippocampal R.1,Fusiform R.6
ParaHippocampal R.1,Temporal Inf R.5
ParaHippocampal R.1,Temporal Inf R.6
ParaHippocampal R.1,Temporal Inf R.7
ParaHippocampal R.1,Temporal Mid R.7
ParaHippocampal R.1,Temporal Inf R.8
ParaHippocampal R.1,ParaHippocampal R.3
ParaHippocampal R.1,Temporal Inf R.9
ParaHippocampal R.1,Temporal Mid R.14
ParaHippocampal R.1,Fusiform R.10
Fusiform R.10,Fusiform R.3
Fusiform R.10,Temporal Mid R.2
Fusiform R.10,Fusiform R.6
Fusiform R.10,Temporal Inf R.5
Fusiform R.10,Temporal Inf R.6
Fusiform R.10,Temporal Inf R.7
Fusiform R.10,Temporal Mid R.7
Fusiform R.10,Temporal Inf R.8
Fusiform R.10,ParaHippocampal R.3
Fusiform R.10,Temporal Inf R.9
Supp Motor Area L.1,Cingulum Mid L.1
Supp Motor Area L.1,Cingulum Mid L.4
Supp Motor Area L.1,Supp Motor Area L.4
Supp Motor Area L.1,Frontal Sup L.6
Supp Motor Area L.1,Frontal Mid L.10
Supp Motor Area L.1,Frontal Sup R.3
Supp Motor Area L.1,Supp Motor Area R.4
Supp Motor Area L.1,Supp Motor Area R.5
Cingulum Mid L.1,Cingulum Ant L.1
Cingulum Mid L.1,Cingulum Ant L.2
Cingulum Mid L.1,Cingulum Mid L.4
Cingulum Mid L.1,Frontal Sup R.3
Cingulum Mid L.1,Cingulum Mid R.1
Cingulum Mid L.1,Cingulum Mid R.4
Cingulum Mid L.4,Supp Motor Area L.2
Cingulum Mid L.4,Supp Motor Area L.4
Cingulum Mid L.4,Cingulum Mid R.1
Cingulum Mid L.4,Cingulum Mid R.4
Cingulum Mid L.4,Supp Motor Area R.4
Supp Motor Area L.4,Supp Motor Area L.2
Supp Motor Area L.4,Supp Motor Area R.1
Supp Motor Area L.4,Supp Motor Area R.4
Frontal Sup L.6,Cingulum Ant L.1
Frontal Sup L.6,Frontal Mid L.10
Frontal Sup L.6,Frontal Sup L.10
Frontal Sup L.6,Cingulum Ant L.6
Frontal Mid L.10,Frontal Mid L.2
Frontal Mid L.10,Frontal Mid L.5
Frontal Mid L.10,Frontal Mid L.7
Frontal Mid L.10,Frontal Mid L.13
Frontal Mid L.10,Frontal Sup L.10
Frontal Mid L.10,Frontal Mid R.11
Frontal Mid L.10,Frontal Mid R.16
Frontal Sup R.3,Cingulum Mid R.1
Frontal Sup R.3,Cingulum Mid R.4
Frontal Sup R.3,Supp Motor Area R.4
Frontal Sup R.3,Supp Motor Area R.5
Frontal Sup R.3,Frontal Mid R.11
Supp Motor Area R.4,Supp Motor Area L.2
Supp Motor Area R.4,Supp Motor Area R.1
Supp Motor Area R.4,Supp Motor Area R.2
Supp Motor Area R.4,Cingulum Mid R.4
Supp Motor Area R.4,Supp Motor Area R.5
Supp Motor Area R.5,Frontal Mid R.10
Supp Motor Area R.5,Frontal Sup R.8
Parietal Sup L.1,Paracentral Lobule L.1
Parietal Sup L.1,Postcentral L.2
Parietal Sup L.1,Postcentral L.3
Parietal Sup L.1,Precentral L.1
Parietal Sup L.1,Supp Motor Area L.2
Parietal Sup L.1,Parietal Sup L.3
Parietal Sup L.1,Parietal Sup L.4
Parietal Sup L.1,Postcentral L.8
Parietal Sup L.1,Parietal Sup L.5
Parietal Sup L.1,Precentral L.3
Parietal Sup L.1,Parietal Sup L.7
Parietal Sup L.1,Postcentral L.11
Parietal Sup L.1,Paracentral Lobule L.5
Parietal Sup L.1,Precentral L.6
Parietal Sup L.1,Precuneus L.5
Parietal Sup L.1,Precuneus L.8
Parietal Sup L.1,Precentral L.11
Parietal Sup L.1,Parietal Sup R.1
Parietal Sup L.1,Precentral R.1
Parietal Sup L.1,Postcentral R.3
Parietal Sup L.1,Postcentral R.7
Parietal Sup L.1,Supp Motor Area R.3
Parietal Sup L.1,Postcentral R.9
Parietal Sup L.1,Precentral R.3
Parietal Sup L.1,Parietal Sup R.7
Parietal Sup L.1,Postcentral R.10
Parietal Sup L.1,Precentral R.7
Parietal Sup L.1,Precuneus R.5
Parietal Sup L.1,Postcentral R.12
Parietal Sup L.1,Postcentral R.13
Paracentral Lobule L.1,Postcentral L.2
Paracentral Lobule L.1,Postcentral L.3
Paracentral Lobule L.1,Supp Motor Area L.2
Paracentral Lobule L.1,Postcentral L.8
Paracentral Lobule L.1,Parietal Sup L.5
Paracentral Lobule L.1,Precentral L.3
Paracentral Lobule L.1,Paracentral Lobule L.4
Paracentral Lobule L.1,Paracentral Lobule L.5
Paracentral Lobule L.1,Precentral L.6
Paracentral Lobule L.1,Precuneus L.8
Paracentral Lobule L.1,Precentral L.11
Paracentral Lobule L.1,Precentral R.1
Paracentral Lobule L.1,Supp Motor Area R.1
Paracentral Lobule L.1,Supp Motor Area R.3
Paracentral Lobule L.1,Postcentral R.9
Paracentral Lobule L.1,Precentral R.3
Paracentral Lobule L.1,Postcentral R.11
Paracentral Lobule L.1,Precentral R.7
Postcentral L.2,Postcentral L.3
Postcentral L.2,Postcentral L.5
Postcentral L.2,Precentral L.1
Postcentral L.2,Supp Motor Area L.2
Postcentral L.2,Postcentral L.8
Postcentral L.2,Postcentral L.10
Postcentral L.2,Parietal Sup L.5
