id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33,role_34,role_35,role_36,role_37,role_38,role_39,role_40,role_41,role_42,role_43,role_44,role_45,role_46,role_47,role_48,role_49,role_50,role_51,role_52,role_53,role_54,role_55,role_56,role_57,role_58,role_59,role_60,role_61,role_62,role_63,role_64,role_65,role_66
Supp Motor Area L.3,12,223,32,34,1083,11,2454,1128,2421,747,112,43,246,63,34,2118,0,23907,4982,507,32648,18463,12407,2438,15,22921,1991,2241,13984,21128,1953,1082,1303,43,163,11495,2327,328,66,8827,1627,2418,6794,72,721,150,11,6,21896,729,84,638,3,2124,521,106,27,96,2115,449,94,63,5,120,36,14,0
Frontal Mid L.8,17,193,66,70,771,79,2627,1557,605,983,283,53,221,187,131,1501,34,30850,6552,2815,28984,31696,3470,2595,260,9239,2804,3802,14972,18235,3792,1354,1270,208,255,1511,1955,826,397,5844,1546,3825,2207,147,575,335,0,0,1336,1856,350,169,53,967,819,289,34,116,273,694,432,98,23,208,264,131,0
Supp Motor Area L.5,20,195,110,80,558,224,2429,2061,480,976,524,82,252,260,132,776,195,21261,6073,6181,30363,35346,1797,1849,944,6984,2880,5498,15917,17153,4935,433,1406,527,300,954,1574,1150,936,2441,2138,5103,1659,456,672,433,0,5,564,1714,579,183,204,992,1075,456,54,222,345,629,675,145,22,235,261,117,0
Frontal Mid L.9,28,269,260,118,785,1054,3127,4963,664,1442,1590,97,332,418,214,975,2214,30168,14471,29308,37648,79236,2436,2882,6631,10424,4297,18786,14041,28642,15669,511,1792,1429,755,1180,2226,1736,3901,3156,2563,10563,2793,1976,932,587,5,5,851,2539,2465,295,331,1304,1492,1126,75,230,441,1070,1135,117,35,298,447,214,0
Frontal Mid L.11,20,208,105,85,750,176,3440,2254,795,1158,529,50,220,304,131,1318,101,36267,8597,5800,35926,49367,4063,2950,723,13795,3171,6984,27350,28328,6253,1364,1087,287,364,2304,1775,1472,1017,8592,2062,5981,3043,413,753,335,8,4,2354,1884,557,134,125,1283,1065,740,27,117,312,571,710,108,71,180,296,92,0
Frontal Sup L.8,18,151,61,92,392,51,1515,904,268,1065,274,58,241,275,216,427,10,13256,1953,895,20127,12326,986,2068,154,3271,2762,2648,4579,12992,1825,236,853,172,101,321,1701,1095,338,889,1607,3940,1547,142,393,312,3,0,229,2797,325,176,79,679,991,412,36,210,248,961,759,140,31,247,542,268,0
Frontal Sup L.11,17,162,54,82,480,40,1533,920,296,994,233,56,283,224,183,595,2,14274,2273,835,19467,12595,1230,2043,123,3559,2796,2394,4339,11853,1798,261,865,149,142,403,2212,841,235,941,1693,3677,1428,135,434,270,11,0,248,2336,265,247,71,790,1033,308,28,176,275,922,595,169,13,338,415,218,0
Precentral L.12,34,746,331,230,3433,1297,6555,10912,6319,4086,2886,882,3928,929,872,6291,2249,79542,42917,50674,59311,156978,28818,10595,11334,53798,14916,43389,23271,110517,33902,1881,16948,8408,4085,21562,32995,4364,8064,19624,16525,56217,16649,3767,15111,6065,274,123,34967,10995,8579,6622,479,26618,15317,2729,3585,4205,34145,10055,4407,5554,96,14455,2321,2351,0
Frontal Sup R.1,15,267,66,39,866,100,4012,2166,2421,772,235,94,306,88,32,1456,60,38284,6255,4217,41164,43478,5741,1833,300,29452,2790,4125,25028,30596,3900,1940,2298,447,574,5090,2232,545,334,20548,2997,3760,4337,167,2103,350,18,14,19188,563,156,246,26,3276,821,154,209,150,2479,312,108,140,8,166,44,8,0
Frontal Mid R.8,9,128,16,20,539,11,2088,447,727,371,25,16,87,29,19,867,2,24577,1962,447,22685,9548,3793,995,14,10398,1520,373,12174,10023,373,1413,410,24,65,2671,859,191,18,7647,958,743,1395,1,237,25,3,1,3878,373,12,108,12,596,167,7,4,22,135,136,32,27,1,36,19,8,0
Supp Motor Area R.5,15,167,65,40,551,95,2114,1313,442,593,234,64,152,92,34,903,40,19534,4064,2593,26882,22367,1817,1401,315,6539,1956,3082,14635,10983,2200,415,1267,293,260,911,1302,471,328,1993,1326,2185,1139,152,576,292,9,1,584,533,149,104,22,790,488,173,50,104,230,207,121,81,6,70,49,10,0
Frontal Mid R.12,24,523,190,86,2854,624,6944,7305,4659,1958,1018,362,1021,272,110,7297,924,93863,35902,31063,60915,135579,24577,6705,3530,50544,10128,19819,40747,84147,18164,2474,8639,3631,3656,15371,11999,1865,2162,30505,9066,18056,9586,1170,9998,1673,49,44,32480,2313,1125,2216,186,10527,3694,698,1396,954,7869,1416,543,819,33,1069,189,66,0
Supp Motor Area L.1,14,202,56,35,930,84,2896,1478,1478,770,173,39,150,74,33,1793,50,31901,6368,2986,31869,28841,7558,2796,239,16471,2244,3566,22764,20160,2107,1406,1179,174,237,7045,1983,620,224,8239,1474,2279,6238,81,541,138,8,2,11247,886,114,140,22,2053,463,99,32,63,381,236,113,57,2,67,46,11,0
Supp Motor Area L.2,59,348,706,1005,679,2968,3996,8273,1055,7779,12043,244,1822,7252,10246,658,5436,27438,16949,51513,41482,102363,2701,11018,40236,13347,9293,87343,13185,118016,68897,519,4223,2977,1014,1796,8295,18930,55730,4985,16775,91136,18960,23151,3024,4807,9,57,2160,84191,87888,512,8262,8821,19105,27190,207,2450,3061,26942,71828,2694,1916,9738,59948,73541,0
Paracentral Lobule L.2,44,460,258,688,1103,419,5831,4258,1894,7416,3520,328,3725,2539,6766,1146,227,44065,9387,8467,61444,60566,4574,13011,3620,27299,9353,33150,22696,108340,23915,1094,5692,1509,1535,3541,17159,9456,7359,10177,35995,43209,19825,4142,4749,3266,64,64,4808,67146,25331,2338,1672,21498,14131,4524,411,2946,11338,39586,20753,4236,288,25112,20009,47826,0
Supp Motor Area L.4,20,352,113,77,1197,254,4846,3357,3667,1863,509,118,616,254,123,1402,251,47021,10741,9968,50609,63057,9003,4622,1055,39690,6423,10295,30146,49030,6526,1806,3061,821,1441,11544,4602,2823,1019,21826,4530,8402,18003,342,3062,607,16,19,29890,2788,551,615,185,7923,2707,464,313,242,5838,1918,556,280,27,667,298,97,0
Precentral L.10,17,373,77,59,1840,104,4476,2973,3731,1479,344,97,661,155,77,3398,48,52752,13418,4934,44727,57818,17088,5066,356,38263,6141,7491,24315,42963,6293,2303,2370,486,795,13797,6612,1376,500,20534,3992,7235,10878,301,2238,415,25,12,30361,1699,328,1296,52,7314,2182,301,183,166,6128,1217,314,248,11,690,120,49,0
Supp Motor Area R.1,53,394,495,883,760,1502,4716,6702,1358,7926,7727,359,2571,5285,8912,628,1819,31256,14047,28553,49774,87039,3306,10829,17916,17117,9784,62318,17449,117937,50242,648,6657,2827,1308,1727,10174,17755,26858,7460,24317,70815,21018,12406,4491,6141,17,102,3085,78410,54846,617,5134,13190,18990,15995,430,3529,5892,35233,50650,3707,1078,15797,42194,63929,0
Supp Motor Area R.2,14,362,33,58,1368,20,4066,1157,4319,1095,111,64,1163,114,119,2394,3,35272,2510,785,50658,19066,12736,2844,45,45002,3527,1325,17922,23581,1296,2120,1808,76,563,14622,7050,865,82,23344,8860,3136,8986,51,1196,183,11,22,34347,1557,105,2103,36,6795,2964,69,52,162,13735,1279,310,165,5,2435,143,152,0
Frontal Sup L.2,22,177,112,119,497,203,1661,1921,382,1190,586,64,239,459,292,616,145,14616,5640,5085,18010,24713,1678,2293,879,4691,2392,5482,4092,15980,5686,261,1126,443,274,696,1500,1192,1178,1275,1483,7171,1713,416,618,468,4,1,434,3244,776,123,341,839,1312,759,48,203,223,890,1510,97,59,253,873,379,0
Frontal Mid L.3,15,191,57,48,755,71,2554,1408,625,788,207,24,215,114,63,1347,19,28966,5364,2477,28189,28488,3318,2235,237,9458,2846,3131,15369,15091,2620,1236,641,97,181,1566,2138,719,250,5614,1634,2934,1884,121,339,117,1,0,1348,979,171,200,52,1048,749,142,8,33,332,427,229,56,11,171,88,45,0
Frontal Mid L.4,17,179,69,67,619,77,1604,1277,392,901,323,79,264,158,122,1124,17,15964,4036,1822,18869,16755,1835,2117,275,4461,2858,3873,4045,11274,2832,301,1402,219,247,692,2236,774,435,1060,1433,3090,1428,239,558,485,10,1,376,1661,420,221,25,928,824,269,64,183,357,700,348,167,9,279,216,127,0
Frontal Mid L.14,22,182,118,113,493,228,1807,2026,425,1140,634,80,248,408,270,576,161,15851,5679,5819,20776,26992,1635,1971,1087,5390,2608,5778,4636,17081,6297,287,1365,500,335,879,1619,1312,1287,1433,1649,6036,1602,415,714,623,7,0,590,3001,961,106,227,876,1319,753,51,224,205,873,1249,131,58,284,774,343,0
Frontal Sup Medial L.5,27,214,206,145,641,605,2281,3496,454,1382,1343,71,272,649,328,1104,730,22674,11428,15761,28547,49993,2181,2376,3785,6709,3116,12587,8599,22614,13151,363,1295,738,528,942,1831,1943,3591,1689,1859,10083,1901,1289,645,671,2,1,576,3231,2144,142,439,908,1768,1871,26,177,202,934,2150,117,157,268,999,395,0
Parietal Sup L.9,23,326,169,84,1230,537,3954,4610,1025,1572,826,93,402,286,122,1951,859,42368,16593,20956,51862,82712,4420,4275,2628,15341,7625,14558,17956,34038,10960,707,2473,884,749,2143,3916,1673,1818,5036,4243,9816,3669,746,1036,660,6,10,1593,2409,902,394,230,2012,1991,602,75,149,839,917,734,168,14,317,242,80,0
Frontal Sup R.8,20,209,112,78,720,228,2483,2271,546,1022,539,94,245,254,119,1227,170,25742,8058,6640,28954,38012,2647,2462,1028,7947,2910,6590,12734,18527,5519,694,1631,582,460,1175,1874,1006,974,2660,1650,5435,1868,470,786,569,3,4,742,1621,548,124,166,1167,1062,492,52,233,315,510,651,166,21,212,238,87,0
Frontal Mid R.15,22,213,132,99,773,296,2365,2629,523,1082,699,99,282,354,191,1476,266,25745,10494,8875,26532,41134,2941,2291,1467,7143,2457,7112,10555,19271,7835,690,1801,670,520,1275,1945,1115,1426,2328,1956,6587,1643,548,714,638,5,12,681,2124,919,191,200,1018,1302,753,50,280,337,725,1040,203,52,291,453,191,0
Frontal Sup L.5,23,166,138,115,425,311,1521,1996,319,1046,770,58,247,425,265,568,249,11895,5193,6498,15858,23875,1262,1933,1653,3707,1585,6610,3648,14158,5529,251,773,440,262,453,1455,887,1627,1119,1693,6824,1519,607,476,374,0,2,279,2707,1138,153,291,791,1092,814,23,189,270,867,1370,133,42,268,732,332,0
Frontal Sup L.7,20,172,87,103,484,105,1545,1533,338,1113,455,36,275,341,239,637,25,13128,4468,2609,15485,19671,1436,2140,424,3880,2389,4656,3731,13324,4175,254,497,146,241,476,1840,959,625,1202,1728,6051,1596,433,438,226,0,3,308,2769,592,214,212,885,1172,530,15,120,305,962,1069,116,27,308,615,293,0
Frontal Mid L.18,26,278,217,108,1261,812,3408,4727,1080,1559,1152,69,263,468,168,2672,1542,42362,21647,26034,41403,77536,8057,4997,4388,17422,5347,16554,16359,38549,13317,1034,1807,860,470,4045,3034,2113,3238,6559,2411,11037,4544,969,763,494,8,3,3049,2770,1232,321,494,1748,1567,1208,29,128,514,615,1256,108,62,161,434,127,0
Frontal Mid R.10,19,270,118,53,1283,309,2915,3258,1465,982,470,89,221,139,51,2469,382,35286,15073,12368,34270,54559,8375,3158,1236,16609,3747,8336,14724,31641,6456,1085,2211,708,546,6311,2697,775,892,5557,1296,4660,3232,361,1011,505,11,2,9820,942,356,227,52,1342,846,266,67,136,364,372,220,94,8,104,86,17,0
Frontal Sup Medial R.5,16,213,64,56,957,72,1981,1623,544,898,272,93,244,136,80,2047,17,24666,7085,2510,22133,24418,3603,2458,262,6583,3277,3763,6133,12638,3534,421,2028,346,336,1107,2557,679,311,1740,1413,3645,1587,193,777,498,7,3,674,1326,281,319,33,968,786,244,120,203,371,497,287,106,12,177,124,56,0
Frontal Inf Tri L.1,12,125,37,29,530,47,1231,768,276,381,92,18,95,45,36,1218,27,14364,3098,1376,15210,10858,1837,1145,99,3728,841,1130,3728,5810,947,285,419,72,76,592,1024,144,102,836,729,1126,638,14,111,80,0,0,300,495,83,134,15,313,188,24,8,7,109,186,73,15,0,58,32,26,0
Frontal Mid L.1,7,99,5,16,457,0,1115,119,255,279,5,4,94,15,15,1055,0,14130,371,0,13510,1983,1610,884,0,3607,1116,47,3418,3429,56,299,112,0,19,531,1104,96,0,964,852,264,533,0,62,5,0,0,306,287,1,154,0,364,126,3,1,4,149,111,11,10,2,57,12,6,0
Frontal Inf Oper L.1,18,165,83,70,548,158,2135,1445,428,1042,314,31,128,226,118,802,136,23358,4559,3728,26133,22480,1880,2897,545,7630,3891,4640,8792,17701,2673,336,699,180,166,898,1203,1324,520,2229,1497,3867,2325,162,351,184,4,1,656,2096,281,125,216,624,663,262,12,70,161,490,565,40,11,64,262,100,0
Angular L.2,24,323,178,98,1379,517,3341,4695,919,1652,1027,109,432,311,169,2389,629,39599,19505,19335,35467,74732,5404,4708,3029,11750,6840,16192,11544,31091,13966,506,2500,1015,843,2077,4515,1848,2113,3556,3545,10719,3080,1161,1242,874,4,2,1296,2783,1435,568,170,1962,1862,772,52,238,787,1132,790,118,23,372,346,158,0
Parietal Sup L.6,27,420,202,149,2109,523,5585,6201,2155,3133,1428,91,702,625,349,4764,546,70507,29399,23606,58690,120997,12463,11002,3277,31976,14100,28576,32976,76757,22070,2135,2657,786,671,7642,9906,4494,3384,18198,6834,21222,11815,1921,1384,869,19,4,10794,8034,2511,1277,430,5310,3987,1776,26,255,2190,2870,2181,259,110,878,986,428,0
Temporal Mid L.8,16,167,82,38,584,184,1408,1728,438,419,259,48,131,78,39,1128,194,13240,6548,5843,12990,23135,2463,654,604,4606,1074,2574,3420,8411,3010,289,860,314,118,852,767,263,382,1343,792,1793,680,124,296,195,4,1,626,476,197,98,26,456,376,88,23,56,165,173,132,60,2,67,53,18,0
