id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33,role_34,role_35,role_36,role_37,role_38,role_39,role_40,role_41,role_42,role_43,role_44,role_45,role_46,role_47,role_48,role_49,role_50,role_51,role_52,role_53,role_54,role_55,role_56,role_57,role_58,role_59,role_60,role_61,role_62,role_63,role_64,role_65,role_66
Temporal Pole Mid L.2,27,414,124,227,2213,169,4584,3130,2481,4160,822,215,1522,949,985,7389,78,57424,14245,4972,60058,45377,18784,18726,775,31352,11079,11109,19834,60509,8882,957,4164,902,899,8590,16885,5651,1593,10570,11250,21682,17786,605,3426,1573,26,56,9561,18170,1716,2579,601,11035,8408,1541,455,1038,7412,9203,4342,1229,169,3850,3469,2661,0
Temporal Mid L.14,38,503,282,421,2435,496,4951,6247,1566,6976,3251,258,2436,2162,2527,6337,236,59571,23254,14243,70334,90173,11939,25309,4103,18971,22467,43941,22175,87549,31385,947,5708,1437,1365,3088,28273,14064,7177,7105,17006,48694,17281,5488,2746,3510,52,15,2902,43319,13355,4593,1033,10710,16391,7314,144,1561,4789,20297,14580,1907,501,9380,9801,10227,0
Fusiform L.7,64,408,1214,802,685,10070,5627,15781,1080,6969,18586,185,1292,7886,5122,466,41233,34993,26125,191552,83607,262681,1856,8644,157964,18350,12270,155215,48409,142674,126517,699,2819,5738,1665,1398,5876,23449,114794,11002,11316,117412,16132,44343,2245,3478,9,32,2257,50655,83701,645,18616,5388,17010,42630,55,1002,1551,13565,74495,813,1758,3289,34561,21281,0
ParaHippocampal R.1,47,460,521,560,1447,2229,5139,9105,1399,7579,6308,197,2041,4142,3536,2232,3951,47045,23869,52753,75381,137842,5948,19078,25302,20064,21520,73602,29905,117337,49859,888,3417,2772,1116,3010,17896,22812,24558,8631,13980,76927,18808,10722,2397,2771,17,35,2937,52724,24869,1850,7110,9247,21285,13160,93,1154,3159,19213,34017,1581,846,7777,19311,14519,0
Temporal Pole Mid R.1,18,232,32,121,976,2,3607,729,1470,1941,119,43,594,268,427,3543,0,35222,3053,103,43898,11915,9297,7687,1,20603,3569,1712,20556,31342,1118,757,1092,8,186,5940,4670,1258,17,9756,7991,5066,9662,45,1369,149,7,1,7235,7277,138,315,11,6081,1599,202,19,199,1902,2951,751,249,60,1232,912,923,0
Fusiform R.2,33,475,186,342,2577,115,5025,3966,1823,5616,2000,337,2472,1421,1920,7314,12,65583,15701,3053,67902,55504,15268,22161,681,24612,15627,23916,19508,73302,16402,1158,7669,564,804,5227,27993,9678,1638,7489,19250,32143,15683,4068,3188,2584,118,55,3839,31672,7207,5510,402,12300,11803,3656,248,2576,6696,16031,10157,2657,32,9707,6016,7051,0
Frontal Inf Orb R.4,39,523,339,402,2464,1064,5090,7190,1664,6676,3631,458,2546,2089,2355,5725,1285,59763,24262,28869,72740,100614,12130,23239,10248,18986,21756,48079,21943,89804,31926,1064,8967,3050,1568,3401,28614,15339,10529,7064,17620,49623,16880,5073,4075,4007,81,118,2796,39529,14386,5116,2139,10359,15739,5298,380,3543,5596,19745,15116,3064,144,9590,8427,9606,0
Temporal Pole Mid R.3,32,461,189,307,2652,222,4582,4706,2340,5121,1738,168,2064,1528,1472,8239,60,63080,23921,6489,64830,61772,18842,21452,1222,30625,13672,22266,19256,75186,19668,1033,3392,781,798,8059,24557,8452,2970,8426,13160,37153,17803,2564,2154,1582,32,20,6767,24678,4946,4856,784,11388,12873,4252,315,992,8936,12789,8420,1307,388,6632,6047,4307,0
Fusiform R.8,18,298,31,122,1625,11,3801,899,1997,2333,102,72,845,259,444,5232,0,47365,4178,324,44409,13754,14405,10825,25,28102,6066,1425,17470,32804,1195,933,1433,136,286,7609,8972,1212,44,10841,8052,6198,11823,31,1438,224,16,0,9429,8503,113,1413,71,7771,2214,121,309,362,3526,4131,687,362,53,1790,900,1015,0
Temporal Pole Mid R.4,27,393,132,219,2174,183,4661,3204,2433,3936,938,123,1416,875,929,7197,59,60647,16190,5392,59608,47366,19304,17745,1018,31989,9175,13498,22089,62328,8913,981,2679,445,875,8591,15874,5095,1705,11002,11008,21699,17448,713,2577,1003,11,16,9899,16605,2301,2577,415,11464,7530,1671,151,564,6693,8721,3969,800,144,3488,3097,2458,0
Temporal Pole Sup L.3,17,352,62,74,1561,34,5118,2271,2536,1727,309,155,662,210,127,2444,2,64636,8508,1428,54209,46673,10924,4967,81,39932,8663,5786,25750,39421,5304,1318,4296,368,1179,8725,7160,1317,273,15544,6605,7756,8526,267,3168,961,55,11,11572,2967,379,860,33,6355,2575,465,464,328,3450,1393,483,437,40,701,256,101,0
Temporal Mid L.3,35,534,345,250,1777,1309,6923,10266,3134,4302,3081,220,1574,1296,859,2959,2200,66119,34382,55073,79420,204800,10219,10645,11297,45243,15006,49379,31707,114395,46339,1430,4781,2610,1240,8264,9616,6189,9554,16927,14776,47872,17622,4333,3254,2043,21,27,12830,14190,7970,1442,940,11176,9504,4688,267,834,7209,6810,6272,1221,230,3593,3129,1747,0
Temporal Sup L.5,34,378,214,347,1223,503,4277,4476,963,4756,1850,163,1458,1639,1992,1687,498,38818,13328,14641,67127,75013,4256,9768,3384,13568,15939,23078,19052,67029,18169,690,3431,1075,417,1647,12371,6961,5021,4239,11490,33434,9335,1759,1616,1548,23,28,1309,27579,6301,1344,1812,5266,9264,2518,101,817,1990,11542,9565,1296,113,4908,7867,7538,0
Temporal Mid L.12,37,502,257,409,2226,480,5980,6435,2127,7307,2808,188,1977,1939,2543,5774,336,63576,23881,14265,70719,116277,13314,26433,3506,27053,22689,46198,27503,109580,34280,1124,3952,1422,1188,4981,21961,12360,6313,11357,16898,50004,23534,4776,2623,2253,45,32,5651,47334,11500,2704,1651,12820,11417,4549,190,1288,5389,20075,13132,1110,214,6551,9221,10847,0
Temporal Sup L.8,22,417,93,138,1602,70,5762,3457,2900,2954,584,95,1078,482,404,2485,0,64294,12296,3402,61035,74033,9681,8128,271,42141,14202,10587,26851,66827,11265,1444,2586,166,543,9414,8872,2842,633,15450,11197,17519,13377,622,2201,768,10,2,13538,8624,1013,1310,155,9040,4802,996,85,311,5365,3974,1769,499,69,1946,1127,660,0
Temporal Mid L.15,28,566,184,194,2795,308,6525,7341,3745,3881,1537,164,1866,786,645,6076,143,79980,35212,15633,69049,150209,18636,12278,2130,52955,16576,25993,24272,95188,31794,1808,4667,979,961,14581,16174,3619,2470,16779,16269,39508,16964,2392,2577,1348,34,45,14891,11851,3770,4149,398,11545,8227,2335,105,633,10258,6738,3677,732,97,4224,1787,1276,0
Temporal Sup R.3,34,491,244,317,2039,503,5512,7441,2391,5016,2330,140,1733,1639,1512,3247,349,59294,32257,21447,67958,139010,12305,13794,3675,31803,17514,35455,24754,101050,40531,1386,3070,1307,544,8383,13758,7232,5581,10581,12363,48307,15401,3421,1932,1183,31,10,9027,22775,7135,2544,1266,8706,10641,4648,146,606,5060,10043,9333,1139,339,5441,6056,4573,0
Temporal Sup R.8,42,374,420,441,951,1719,4581,7651,942,5023,4430,169,1161,2783,2548,1146,3395,37506,18367,45372,67927,128617,3112,9180,16102,14050,11960,49330,25169,84044,41020,636,3203,2230,676,1379,8051,8646,17524,5444,9479,53628,9984,5271,1571,2097,30,25,1332,30506,16747,592,3733,4269,10159,7616,83,906,1494,9922,18961,1116,332,3403,12666,9583,0
Temporal Sup R.11,36,507,302,328,2000,720,6023,8742,2497,5045,3222,163,1816,1664,1534,3247,520,62579,34418,29425,71742,165728,11107,13144,6531,35023,15923,47402,27710,110042,50830,1450,3848,1670,744,8360,14159,7485,7474,11714,14303,52836,16336,5750,2178,1564,27,15,9618,21879,11169,2764,1144,9226,10238,6112,110,774,5434,10658,9585,1107,361,5638,5584,4675,0
Olfactory L.1,12,168,39,27,635,49,2713,890,841,578,94,51,139,55,22,993,24,33080,2846,1424,32750,17507,3691,1709,104,14692,2433,1772,17966,13040,749,727,1610,145,301,2457,1527,483,125,7234,1387,1525,2529,13,928,139,7,5,2659,480,52,110,12,1154,381,60,27,101,401,193,60,58,9,67,29,7,0
Thalamus L.2,17,203,89,47,720,188,3774,2001,1350,827,327,29,181,117,48,1357,169,41297,6865,6149,47291,44088,5448,2348,676,23860,2422,5342,31286,30225,3163,980,888,178,246,4924,1694,691,544,13976,2588,3618,4889,216,421,139,3,1,7303,959,247,94,60,2023,626,178,28,42,495,312,177,64,12,110,78,23,0
Hippocampus L.2,7,98,6,15,375,1,2093,164,385,262,7,13,68,13,14,433,0,28242,451,38,30494,4186,2153,701,0,8673,850,109,19667,6172,89,342,454,9,70,764,700,48,3,4532,1353,318,760,0,167,16,2,0,954,252,2,90,1,427,64,2,29,20,105,105,12,17,0,31,9,6,0
Hippocampus R.1,11,231,32,23,2351,30,2754,1242,1832,594,81,61,176,36,18,13469,8,54878,12045,1605,40502,20848,30641,4645,68,20124,2814,1767,18569,16808,1439,754,2284,171,392,13803,3271,272,69,5791,1514,1764,4014,23,1065,188,10,5,9582,430,50,845,3,1432,379,47,77,72,952,232,38,46,3,58,14,7,0
ParaHippocampal R.2,12,145,38,28,474,45,2147,740,609,471,101,33,159,43,31,516,21,22597,2134,1076,31897,13321,2167,1019,106,10352,1305,1507,14371,9451,760,548,921,87,270,1575,1276,331,103,4698,1531,1087,1876,23,532,101,7,2,1753,490,84,188,6,1133,319,42,9,61,378,271,63,40,1,115,26,20,0
Temporal Inf L.2,45,487,437,553,1673,1404,6462,8521,1489,8575,5468,195,1971,3643,3675,3323,1632,53700,22919,37031,84091,163596,6665,24251,14907,20795,28164,73742,48877,137769,48123,1412,4050,2386,780,2221,19681,23003,18541,12579,15922,74643,22204,9683,2594,2923,7,15,3091,62022,23317,2261,4085,8602,19685,12419,183,1330,3132,23022,29239,1355,550,6220,18347,16275,0
Rectus L.1,8,243,0,28,1819,0,3351,0,2035,649,0,0,526,0,56,5372,0,58146,0,0,37176,0,17311,2777,0,32221,2623,0,13523,7305,0,1444,0,0,0,9552,7136,0,0,11379,5474,0,2093,0,292,0,0,0,9749,1191,0,1410,0,4620,0,0,0,0,3766,756,0,0,0,800,0,70,0
Temporal Mid L.2,37,505,256,410,2563,569,6030,6362,2095,7406,2659,163,2043,1935,2607,7289,528,71364,28770,18548,70620,115438,16190,28237,4423,26339,23172,44415,29749,113275,29326,1491,3889,1070,995,6093,25550,11434,6714,11961,15799,50744,23507,3451,2693,2206,31,11,5352,48735,10913,3579,1674,12019,12704,4080,126,1059,5056,21048,13429,988,148,6905,9222,11463,0
Frontal Inf Orb L.2,21,324,140,70,1582,359,4487,3963,1741,1395,704,146,415,175,92,3014,345,60527,17941,14010,48544,75009,11349,5034,1892,25749,6638,12193,25671,39906,9182,1284,4219,1269,799,5520,4969,1274,1237,13171,4122,7819,6156,769,2113,753,58,8,6604,2059,778,507,61,3226,1502,335,361,290,1305,707,334,281,20,283,156,58,0
Temporal Inf L.4,41,474,303,517,1622,677,6116,6189,1495,8331,3258,173,2047,3270,3455,3018,497,53273,15572,18232,81304,116377,6231,22997,5607,20857,29667,41660,43547,126925,31360,1279,3962,1471,495,2289,19826,22819,8546,11285,17081,62692,21897,5438,2386,1947,46,41,3058,61745,10906,2117,3978,9792,18850,7879,130,1268,3430,21480,25270,1554,458,7305,17825,14866,0
Temporal Inf L.5,30,455,78,357,2322,56,5210,2028,1832,7255,478,74,1882,1060,2466,6561,16,63984,7446,1809,68426,35082,13641,28423,180,23613,29218,8167,22709,87518,6107,1109,1542,153,466,4494,24456,8505,600,8786,16366,21436,22481,192,1916,517,17,3,4094,51989,1319,3015,488,11219,7810,805,122,726,5104,22835,5011,575,160,6031,7142,11492,0
Temporal Inf L.7,36,467,182,448,2034,299,5483,3945,1529,7982,1546,183,2026,2199,3096,4939,130,59721,12378,8275,73896,68219,9434,26588,1958,20265,30659,21368,29170,105574,15568,1201,3727,854,706,3006,24589,16487,3366,9475,16560,39501,21298,1432,2465,2015,36,49,3356,59893,4566,2719,2065,9944,15323,3264,194,1261,3510,22571,14416,1588,228,6976,13367,14113,0
Frontal Inf Orb L.5,16,197,66,54,965,97,3049,1568,1095,1003,248,43,149,137,78,2255,59,37475,7709,3401,36576,29786,7379,3732,307,17992,3478,4260,16845,24606,2665,1100,1227,237,295,4322,1964,856,333,7853,1603,3569,4759,150,880,208,5,0,4720,1731,234,158,78,1462,565,177,82,86,285,444,288,46,5,72,132,57,0
Temporal Mid L.6,35,478,209,386,2211,371,5929,5078,2004,6930,2042,165,1957,1700,2432,6210,212,65593,19685,10873,71804,93118,13256,25596,2702,26360,21446,33286,27298,101972,22432,1269,3499,935,840,5055,21904,10656,4225,10853,18462,41556,21921,2546,2411,1844,33,15,4849,45174,7885,2913,1395,12383,10687,3081,213,1209,5389,19859,11489,1033,143,6623,8139,10543,0
Frontal Mid Orb L.2,21,283,137,73,1418,384,4361,3558,1892,1242,609,77,353,233,104,3414,479,60037,17086,14109,48492,69195,12403,5038,1813,30462,3158,9567,22874,41900,7320,1682,2118,719,755,7508,3824,935,1165,13372,4185,8537,6307,450,1558,408,8,3,8858,1952,602,537,205,3338,1262,414,107,139,1771,731,572,109,13,295,195,77,0
Temporal Inf L.10,31,500,91,374,2938,48,4781,2619,1820,7669,626,128,2228,1243,2578,9045,2,66345,12191,2091,64980,40202,15930,30966,152,21096,33658,9554,20982,89059,9127,1322,3180,173,447,4984,33175,9148,654,8324,13367,27386,21999,427,1936,1153,37,2,4070,54467,1749,4562,378,10550,11488,1227,82,986,4691,23872,6507,1125,280,7715,8214,11875,0
Temporal Inf L.11,47,485,472,609,1635,1712,5640,9826,1486,8612,5758,202,1734,4588,4157,2914,2632,52239,28611,50984,73414,169569,6332,23578,16979,20566,25616,72114,38567,133503,64587,1191,3484,2618,893,2727,17170,23707,24219,10746,11517,89199,20293,9197,2360,3326,11,35,3152,66299,22275,1764,6623,7180,21114,14914,135,1419,2717,19892,37515,1218,881,4715,24701,18429,0
Temporal Mid L.11,31,786,267,198,5836,942,10519,12933,6291,5151,2099,356,2392,719,735,20173,1502,175497,89907,64231,115241,327331,55706,23986,7441,83027,27736,49473,65406,173168,51712,3862,12602,3559,2357,30037,38084,5482,5108,37828,17767,46209,25563,2176,6734,3213,82,18,34693,16779,5965,6805,378,20176,10827,1700,751,1183,12515,10392,3675,1473,38,6010,1494,1988,0
Rectus L.2,25,549,128,172,4085,228,5240,4440,3049,4026,863,256,2099,534,675,14240,147,88182,26979,9659,63556,71501,32286,19945,1229,35163,17287,17026,20851,60046,11855,1526,7395,1167,1503,12229,31787,4631,1649,10291,11972,20614,14030,626,4167,1923,77,15,8627,14380,2314,6568,321,13177,7166,765,462,915,10212,8663,2254,1198,16,6461,1517,1812,0
Temporal Inf R.1,40,529,323,457,2197,818,7149,7430,1757,7905,3557,196,2452,2706,2799,4735,712,68620,24878,24916,89199,148095,10009,24679,7527,24165,31310,51041,52692,129948,36977,1483,5017,1721,1171,3181,25572,19567,9830,14151,20799,61714,21648,5355,3169,2555,28,8,3770,50531,13060,3835,2534,12003,20738,7936,120,980,4444,21091,20423,1702,326,9471,12334,11353,0
Rectus R.1,28,492,123,255,3140,146,5727,3302,2172,5214,980,104,2280,800,1350,9582,57,82987,17067,4617,70499,55106,22185,22840,831,27755,19723,16662,25887,72473,9232,1404,3107,352,748,6955,29611,6723,1320,9980,18745,22776,16829,863,2184,916,40,2,5271,27073,3313,6576,440,13177,7999,1150,72,433,7275,14113,4507,809,56,8755,2911,5027,0
Temporal Mid R.2,49,500,588,588,1785,2770,6193,11671,1716,8257,7416,185,1851,4494,3744,3121,5984,57750,38283,77621,74647,203935,8886,23066,31062,23164,21301,96756,41375,143913,73875,1443,3486,2831,1072,3412,17654,23397,34651,12404,13385,93103,22911,12132,2818,3146,22,16,3941,56807,29996,2143,6709,9308,20270,17215,104,1151,3349,19675,36764,1195,646,5910,20702,16015,0
Temporal Inf R.5,42,452,316,545,1458,791,5756,6182,1439,8538,3344,178,1728,3579,3766,2355,733,52670,15727,21183,75357,112193,5740,22819,6655,19498,29416,43876,39191,127286,32069,1138,3691,1352,698,2321,16418,24223,9837,10659,14686,63338,22561,4981,2437,2269,28,64,3161,66360,10901,1380,4770,8453,17702,8272,103,1400,2874,21092,28261,1443,473,5363,20238,16809,0
Frontal Mid Orb R.1,21,341,111,99,1707,180,4934,3258,2271,2130,609,92,624,351,190,3289,103,64098,15019,6865,54128,62994,13537,7834,817,35461,8385,11507,24735,50485,7862,1549,2729,409,595,8292,7515,2538,1024,14966,6340,12308,10417,568,2002,706,8,1,10206,4294,791,987,170,5981,2785,794,138,213,3237,1821,1047,295,59,738,433,179,0
Temporal Inf R.6,47,427,449,632,1152,1508,5061,8047,1324,8465,5347,106,1459,4987,4373,1304,1866,41293,19325,38580,71415,130805,4359,19145,15180,18896,24831,61772,34436,129239,50353,1023,1680,1359,638,2478,11372,27758,20241,9671,10867,83551,21283,8999,1882,1735,6,8,2795,68397,18469,1123,8287,6402,18990,15378,72,873,2394,18294,42267,637,1130,3824,27258,19290,0
Temporal Inf R.7,37,682,283,383,3708,584,7840,10266,4199,8188,3025,243,2806,2103,2058,9327,433,90829,49643,27814,83316,210887,27159,31903,4366,44339,34854,57984,50004,166366,60063,2555,7280,1719,1349,15794,35355,14814,7658,26625,18594,72413,33942,5415,4139,3167,59,12,20429,42627,10285,5302,1734,18732,21131,6329,253,1178,10747,20654,13629,1786,278,8937,8807,7111,0
Temporal Mid R.7,42,551,373,488,2437,1156,6250,9985,2321,8014,4245,209,2087,2962,3117,5647,1542,69077,40464,43807,73986,179119,13993,26827,10571,31155,23400,63925,31840,134290,62075,1634,4695,2382,1342,6352,22964,15594,13924,13471,15219,76443,24185,6790,2918,2762,35,32,6300,53617,17015,3120,3850,11742,17561,8033,201,1299,5082,20943,22294,1393,360,6527,13975,13576,0
Frontal Mid Orb R.3,22,425,126,105,3300,244,5247,4349,3037,2524,711,120,906,366,219,13276,206,88780,32437,10209,59350,77941,34352,14214,1161,37231,10663,15764,25817,58587,11216,1996,3700,813,1041,15390,15670,2761,1232,13901,6189,15720,12329,712,2403,693,30,11,13357,5385,1063,2191,258,8860,3518,796,235,276,5494,2529,1094,431,40,1416,504,249,0
Temporal Inf R.8,28,458,40,338,2770,11,4907,1024,1680,7174,149,69,2015,709,2407,9478,2,68098,4782,326,68656,14672,15886,30058,15,19743,30877,2252,20819,78747,1629,1279,1777,38,172,3670,29914,5607,87,7801,16790,13167,21089,30,1592,357,19,1,3495,52233,203,4373,150,10301,5962,275,98,692,4854,24382,2242,633,140,6603,5797,11534,0
Temporal Inf R.9,49,527,553,623,1774,2381,6304,12616,1870,8604,6995,231,1807,4858,4190,2702,4540,59227,39489,78910,77736,226568,7743,22286,25765,26035,24244,87681,42239,150746,93666,1411,4300,3581,1170,3996,16767,23808,31755,13540,12925,101074,21128,12238,2875,3833,17,40,4871,64414,28146,1768,8081,8381,21472,16368,140,1525,3250,19119,40604,1385,741,4859,25281,18357,0
