id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33,role_34,role_35,role_36,role_37,role_38,role_39,role_40,role_41,role_42,role_43,role_44,role_45,role_46,role_47,role_48,role_49,role_50,role_51,role_52,role_53,role_54,role_55,role_56,role_57,role_58,role_59,role_60,role_61,role_62,role_63,role_64,role_65,role_66
Insula R.3,8,72,1,27,194,0,425,17,122,239,0,3,121,6,50,214,0,2895,32,0,2734,130,456,301,0,835,468,0,777,1200,0,17,58,0,0,139,748,10,0,231,693,78,273,0,26,0,1,0,102,443,0,118,0,285,24,0,2,3,121,210,0,15,0,154,15,55,0
Thalamus R.2,24,140,179,97,243,509,1358,2111,428,725,1068,11,181,275,172,139,608,8610,3580,8483,13280,26613,777,842,3126,5751,822,8296,6756,13861,6754,132,175,133,21,636,858,570,1818,3109,1047,4478,1644,1349,100,52,1,0,1335,1331,1681,112,187,699,533,723,3,21,272,550,655,31,21,163,278,180,0
Hippocampus R.2,17,89,67,69,152,83,433,670,112,464,292,14,131,172,133,156,36,2128,1040,1225,3904,4595,248,638,281,825,695,1728,1013,3245,1417,28,133,34,68,106,539,376,388,247,433,1788,492,196,77,79,0,1,70,1031,357,65,68,243,504,217,1,29,79,313,461,46,3,146,224,149,0
ParaHippocampal R.2,17,81,63,73,120,94,448,568,110,556,239,4,82,185,162,92,57,1866,823,1210,3903,4320,194,681,301,744,1006,1692,1120,3806,927,41,31,10,16,98,314,523,392,267,298,1792,726,56,29,33,0,0,90,1514,329,42,94,215,377,142,1,10,43,343,465,6,13,55,325,206,0
Temporal Pole Sup R.4,21,67,117,93,104,192,343,707,83,429,683,8,94,281,174,127,133,1568,1085,1738,3135,4288,243,539,853,586,410,3020,772,3200,1836,13,83,46,10,119,362,414,1106,181,388,2053,463,801,23,41,1,1,61,960,1019,22,112,176,407,686,0,14,38,272,743,39,28,116,323,181,0
Temporal Pole Mid R.5,14,102,45,46,184,32,515,614,179,380,171,19,147,102,59,154,4,2420,1012,623,4188,4958,370,391,76,1205,741,1226,1087,3050,1091,20,174,44,49,185,709,224,160,331,531,1524,456,116,115,85,1,0,148,496,147,75,24,332,435,158,10,29,192,210,188,47,9,140,81,38,0
Temporal Pole Sup L.2,9,93,16,20,218,8,1054,315,267,251,34,4,85,20,22,126,0,7424,751,225,9048,4832,770,340,14,3095,776,370,4467,3807,271,126,61,5,19,358,455,53,20,1710,841,518,547,3,64,12,0,0,408,263,28,78,0,332,120,8,1,3,172,142,24,7,0,45,18,11,0
Temporal Mid L.3,19,204,96,75,468,169,2024,1935,839,931,453,59,344,219,128,239,103,13545,4086,4723,16752,26833,1925,1475,718,8965,2317,5140,6898,16957,4174,274,877,329,117,1642,1858,582,749,3771,2857,5523,2796,357,557,306,1,5,2529,1580,511,230,107,1960,1149,381,42,116,1078,810,591,166,11,387,223,125,0
Temporal Mid L.12,14,110,43,48,193,28,1044,654,248,498,161,22,117,110,65,89,2,5927,1095,578,9252,8491,483,518,65,2940,1203,1468,4029,6083,1252,106,303,51,65,300,613,398,150,1315,772,1680,799,100,232,100,0,0,323,704,137,54,20,456,374,160,15,47,155,278,210,48,12,58,106,39,0
Temporal Mid L.14,13,102,45,33,221,42,728,672,217,336,160,14,94,49,35,150,10,4422,1400,819,5838,6945,604,424,117,1760,697,1582,1631,3929,1174,135,202,52,34,289,563,139,142,686,495,997,526,114,128,51,1,0,240,381,144,63,4,350,185,68,6,19,85,149,58,28,2,51,38,18,0
Temporal Sup L.8,19,227,80,91,656,85,2139,1849,1080,1233,431,23,479,243,210,559,16,17217,4980,2714,15881,25358,3233,2345,354,11597,2948,5294,6002,20167,4577,510,408,103,75,2852,3190,672,495,4041,3198,7083,3907,401,376,115,0,0,3138,2867,700,508,93,2851,1180,395,14,55,1968,1557,704,98,26,739,406,286,0
Temporal Mid L.15,19,223,83,88,634,100,2053,1892,1007,1164,427,34,445,257,185,558,24,15941,5190,3051,16002,25829,3002,2141,425,10696,2784,5113,6060,19369,4663,436,543,158,59,2578,2958,695,533,3756,2892,6968,3502,370,405,188,0,0,3047,2535,609,384,121,2628,1308,445,17,65,1661,1257,719,142,36,616,372,222,0
Temporal Mid R.12,18,147,92,61,317,156,1407,1454,347,591,417,45,182,170,73,246,100,8846,3102,3591,12185,19301,958,640,600,3691,1323,3733,5966,9129,3320,128,597,241,104,469,969,506,692,2195,1349,3040,1059,352,319,234,1,3,481,690,398,111,48,646,683,384,16,88,236,288,301,94,21,143,130,34,0
Temporal Mid R.14,10,79,25,20,147,14,631,366,166,199,65,8,65,28,13,86,0,3602,646,286,5156,4054,348,190,26,1418,442,591,1618,2324,431,106,118,11,31,180,374,73,44,609,405,500,296,32,70,25,0,1,162,134,32,24,2,246,143,32,0,7,77,65,27,12,1,23,12,2,0
Temporal Sup R.11,18,230,75,78,710,94,2148,1834,1119,1088,358,48,446,202,162,646,36,17764,5230,3167,16067,25351,3567,2110,348,11799,2774,4493,6138,18495,4053,530,954,244,142,3176,2936,558,492,4087,2963,6114,3583,285,692,179,5,0,3310,2198,484,561,78,2678,1132,257,55,105,1838,1200,584,173,12,631,287,197,0
Rectus L.2,7,65,8,13,172,0,317,144,179,124,16,0,61,8,11,170,0,2057,356,0,1984,1228,594,214,0,1163,217,124,469,936,112,20,0,0,0,349,354,4,0,223,229,238,226,6,3,0,0,0,231,112,8,54,0,176,20,0,0,0,145,60,16,0,0,37,0,5,0
Frontal Sup Orb R.3,10,77,24,21,204,7,380,352,179,167,77,0,87,17,19,193,0,2572,891,119,2557,2769,631,266,12,1162,178,588,590,1576,536,28,0,0,3,310,493,25,25,259,321,513,269,54,9,0,0,0,187,153,63,93,0,210,46,21,0,0,177,96,18,0,0,65,8,9,0
Thalamus L.2,15,111,61,44,233,107,846,846,288,428,176,15,125,120,52,187,78,5102,1711,2056,8929,9254,769,619,312,2718,765,1516,3572,5835,1179,74,186,86,16,424,703,418,218,1298,552,1720,778,83,105,56,2,0,493,541,100,59,130,405,494,90,16,14,213,205,240,35,1,94,84,29,0
Hippocampus L.2,6,71,2,13,256,0,481,47,170,170,1,1,68,6,13,411,0,4090,119,0,4422,577,840,364,0,1334,442,10,1344,1285,11,68,26,0,2,254,628,15,0,429,328,98,249,0,18,1,0,0,225,160,0,74,0,251,50,0,0,0,104,89,3,3,0,40,6,6,0
Temporal Pole Mid R.1,13,56,36,42,61,29,314,294,142,216,107,14,67,95,55,15,6,1257,310,294,1918,1806,101,171,56,1086,158,395,484,1858,485,12,89,41,27,163,169,158,125,239,275,678,370,40,102,59,0,0,188,331,64,17,29,234,266,93,13,15,128,92,170,30,8,38,90,34,0
Hippocampus R.1,13,106,42,36,268,49,847,627,224,367,120,21,118,75,42,298,23,5318,1544,950,9658,7160,717,631,114,1701,740,1041,3520,4062,949,70,403,63,49,275,743,309,123,864,717,1074,504,60,112,85,0,3,235,440,82,68,47,360,350,53,17,24,183,199,134,33,1,81,54,24,0
Temporal Pole Mid R.4,11,69,28,27,113,22,349,310,154,194,69,15,78,48,26,68,3,1694,457,310,2167,2171,289,189,46,1067,291,390,586,1589,350,10,122,46,58,206,343,103,55,308,229,540,323,23,99,35,1,1,201,198,38,26,17,233,211,39,10,13,105,78,66,32,2,47,30,11,0
Putamen L.1,3,28,3,0,98,1,134,52,95,0,0,2,0,0,0,147,0,1129,189,24,893,406,414,0,0,602,0,0,248,171,0,8,7,2,0,260,0,0,0,91,0,0,0,0,19,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thalamus R.1,14,165,45,46,442,34,2076,984,701,563,172,16,283,94,64,387,12,16466,2371,969,19437,16575,1836,871,88,9738,1383,1739,11074,11209,1822,295,344,25,26,1104,1466,373,123,6048,3427,2462,1672,109,106,82,3,0,2161,592,191,372,27,1132,665,151,4,31,1018,543,159,33,12,291,81,48,0
Temporal Pole Mid L.1,9,34,9,27,39,1,225,45,76,167,15,1,29,30,38,18,0,696,53,5,1343,300,75,161,0,466,119,95,567,1096,15,25,10,0,3,110,81,83,5,177,162,116,355,1,16,2,0,0,121,285,7,7,1,131,52,10,0,3,17,86,35,2,1,17,39,27,0
Temporal Pole Sup L.4,6,41,0,15,76,0,197,0,92,127,0,0,39,0,20,53,0,874,0,0,1176,0,206,151,0,565,173,0,433,635,0,21,0,0,0,162,197,0,0,164,95,0,262,0,13,0,0,0,126,179,0,16,0,134,0,0,0,0,32,75,0,0,0,27,0,15,0
Fusiform L.5,4,26,0,6,28,0,168,0,52,28,0,0,25,0,4,5,0,541,0,0,899,0,53,15,0,381,11,0,448,198,0,18,0,0,0,55,55,0,0,155,116,0,22,0,6,0,0,0,41,14,0,7,0,62,0,0,0,0,36,14,0,0,0,12,0,1,0
Temporal Pole Mid L.2,13,62,44,34,85,40,368,377,146,229,154,10,59,56,36,38,5,1510,498,461,2349,2789,219,218,120,1030,267,932,707,2181,577,17,79,33,48,177,218,145,130,359,184,617,463,101,83,46,1,0,203,243,130,15,10,216,162,83,5,11,69,109,80,17,2,31,33,21,0
Temporal Pole Mid R.3,9,45,8,28,62,1,242,78,107,200,11,2,39,31,41,28,0,990,109,15,1397,488,118,219,0,719,200,72,497,1234,73,23,18,1,30,160,130,74,4,210,129,193,408,1,29,3,0,0,172,331,2,14,2,149,94,7,0,5,44,113,34,4,1,17,45,30,0
Fusiform R.8,8,46,7,21,83,1,239,71,111,145,9,3,50,21,25,60,0,1113,118,16,1327,421,220,171,0,736,116,72,443,985,31,27,23,1,16,170,227,30,4,205,147,162,303,0,28,4,1,0,174,170,2,25,1,153,73,5,0,4,54,86,21,8,0,35,23,14,0
ParaHippocampal L.1,8,88,13,15,276,6,797,240,269,238,24,8,61,12,14,328,0,6379,632,146,8407,3096,1017,564,9,2880,810,337,3361,2987,176,79,91,11,29,449,559,80,12,1305,350,235,646,1,75,21,0,0,537,244,18,59,0,323,94,4,4,7,85,88,12,4,0,28,8,6,0
Temporal Pole Sup R.3,7,58,9,12,118,3,689,173,194,119,13,1,27,10,9,49,0,4694,418,83,6895,2387,425,159,1,2848,195,124,2983,2184,179,133,12,2,29,342,113,32,10,951,263,143,305,0,41,3,0,0,344,96,9,4,0,179,33,0,0,0,33,35,3,0,2,11,8,2,0
Temporal Mid R.15,17,218,64,72,653,63,1910,1536,1008,1048,293,41,411,185,139,653,11,15162,4347,2090,16109,20878,2972,2008,209,10245,3106,3769,5742,16699,3191,411,609,147,82,2883,2766,604,366,3227,2488,4997,3417,216,398,203,3,0,3198,2006,350,454,54,2365,1279,275,27,84,1506,1052,488,139,10,526,248,153,0
Fusiform L.2,24,295,145,131,1037,285,3250,3243,1674,1806,970,43,825,395,374,1297,224,27458,11430,8520,22062,45761,6601,4392,1651,19170,3580,12574,13113,36506,9295,957,767,331,158,5621,5320,1118,1576,8685,7615,13095,6609,1090,715,260,1,2,6095,5123,2150,1120,211,6508,2251,854,21,88,3624,2930,1398,215,31,1873,729,712,0
Hippocampus L.1,16,129,70,50,206,117,1687,1000,454,583,244,28,148,141,58,155,71,9655,1544,2210,16716,15999,637,706,385,6385,1480,2377,9275,11133,1600,184,483,133,48,423,520,743,384,3805,1432,2247,1823,118,187,136,1,1,1383,751,168,69,83,887,571,200,26,39,330,295,258,60,17,94,108,28,0
Thalamus L.1,7,105,8,13,373,0,1174,225,517,185,14,13,97,12,9,417,0,10607,632,0,11602,3930,1895,381,0,7267,520,126,5215,3410,178,194,303,0,38,1284,637,30,0,3059,722,396,709,5,131,17,0,0,1870,106,4,172,0,497,91,4,7,14,306,80,16,21,0,40,4,2,0
Lingual L.3,29,355,174,232,1392,303,3241,3934,1781,3338,1454,70,1264,881,1016,2011,159,28082,14411,9229,18868,50429,9013,9467,2034,15702,5903,19719,10471,46119,13979,924,1758,477,339,5505,9618,2695,2721,7561,8970,24517,12839,1606,1291,494,0,0,4964,14170,4448,2157,453,8098,4404,2110,86,314,4976,8342,4306,437,100,3542,2797,3017,0
Thalamus L.3,7,46,8,13,176,0,299,156,120,86,16,0,17,8,11,280,0,2831,686,0,2795,1424,894,198,0,977,29,96,828,1009,210,33,0,0,0,230,94,0,0,277,71,202,145,6,8,0,0,0,166,69,8,39,0,57,8,0,0,0,30,20,16,0,0,1,0,5,0
Fusiform R.1,22,344,96,135,1709,100,2978,2734,1950,2218,638,45,1091,344,458,3544,31,30365,13369,3710,20753,35816,12777,6748,517,18281,5954,9601,9786,33525,7575,1032,921,175,163,7905,10050,947,586,7199,6853,13277,8452,661,706,260,5,2,6582,7136,1570,2460,156,7473,2329,574,27,120,4768,4462,1414,267,13,2710,727,1066,0
Fusiform R.3,15,170,60,45,495,80,2060,1241,767,603,219,25,243,102,54,479,29,16987,3284,2274,18580,20005,2408,1173,276,10612,1799,2471,10434,12723,2001,381,407,91,86,1571,1455,432,253,5953,2619,2788,1885,128,168,115,2,1,2496,739,187,321,39,1274,721,158,6,45,903,337,181,43,5,227,78,31,0
Thalamus R.3,8,54,13,15,181,0,417,215,139,111,34,0,26,10,12,242,0,3533,739,0,4455,2249,841,246,0,1212,103,254,1422,1340,332,45,0,0,0,211,182,19,0,486,141,259,211,18,10,0,0,0,196,74,22,50,0,108,12,8,0,0,39,28,16,0,0,5,1,5,0
ParaHippocampal R.3,7,81,4,17,240,1,955,73,288,271,2,6,65,13,19,263,0,8177,108,23,9509,1271,969,571,0,3876,955,23,4851,3420,12,65,115,3,12,416,530,69,1,2105,521,178,799,0,72,3,3,0,753,347,0,70,3,357,73,0,1,9,116,123,6,12,0,30,15,10,0
Putamen R.1,3,23,3,0,50,1,124,42,81,0,0,2,0,0,0,47,0,737,98,19,746,318,166,0,0,589,0,0,217,143,0,6,7,2,0,191,0,0,0,92,0,0,0,0,19,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontal Sup L.1,17,248,67,69,719,61,3405,1807,1542,1177,318,80,412,186,115,725,11,28301,4546,2026,34260,32484,3690,2284,188,20008,3900,4746,19240,26551,4125,1533,1791,331,341,4189,3016,827,383,11426,4206,5555,5014,285,1426,370,22,3,7126,2018,358,326,51,3895,1297,326,165,181,1672,961,444,252,22,396,220,92,0
Paracentral Lobule L.1,37,397,236,430,1051,383,4227,4313,1758,5201,2455,350,2039,2201,2731,1082,168,30817,10332,8400,42112,54486,4397,9050,2537,21543,7740,24906,13891,69873,20538,1136,5821,1585,1753,4153,11157,7603,5724,7385,14570,36783,16706,3394,4788,3901,154,70,4608,30407,9380,1799,1552,13342,13290,5504,522,2583,6468,17669,14224,2801,532,7535,11435,11595,0
Supp Motor Area L.3,19,363,77,94,1726,66,3879,2349,2670,1901,413,135,1007,285,205,3397,6,39396,8946,2501,39695,35506,14047,5426,210,27777,6035,6852,16015,34180,4968,2212,3365,357,1033,10948,9993,1678,557,12657,6208,8850,9646,335,2377,760,69,6,12298,3447,578,2101,55,8574,3842,618,268,356,6135,2723,764,595,32,1726,473,248,0
Paracentral Lobule L.2,36,389,218,412,974,371,4286,3901,1774,5020,2135,340,2007,2029,2605,931,218,29487,8601,8197,44345,49556,4277,8524,2365,21476,7169,21097,14202,68285,17189,1360,5484,1548,1677,3918,10600,7542,5235,8193,14947,31808,16109,2357,5145,3689,86,48,4689,29498,7959,1576,1406,13591,12828,4666,503,2304,6589,17022,12618,2810,406,7453,10656,11019,0
Frontal Mid L.8,15,156,44,61,424,18,2271,901,570,833,188,35,190,142,107,516,0,19866,2467,450,24742,17718,2135,1620,34,8982,2361,2427,13269,15570,2023,944,704,54,118,1236,1113,613,130,5173,1881,2736,2405,139,467,202,3,3,1381,1544,201,133,18,1155,648,218,6,88,314,528,333,60,10,162,189,93,0
Precentral L.3,38,407,255,448,1007,410,4260,4643,1686,5342,2717,336,2201,2516,2793,956,140,31173,10764,9364,40370,59324,4107,8732,2775,20914,10111,27122,13684,70515,22577,1035,4975,1556,1846,3997,11748,9288,6630,6782,15342,41967,15245,3997,5047,3368,79,52,4081,31094,9723,1590,1610,13800,14982,7133,448,2539,6321,17044,16862,3306,711,8904,12883,11351,0
Supp Motor Area L.5,18,186,91,62,387,139,2527,1741,646,799,445,80,231,149,83,246,56,19133,3322,3544,27527,31879,1220,1073,587,10126,2346,5164,15099,16936,4097,641,1232,412,401,1327,1286,619,656,5282,1950,3670,2167,449,759,471,8,9,1531,1023,490,120,31,1278,845,327,73,168,401,436,269,73,10,180,127,58,0
Frontal Mid L.11,25,350,178,122,1135,435,4514,4780,2337,2080,1162,100,670,465,238,1410,393,39177,14678,16348,41869,81565,7373,4492,2586,28207,6424,18342,21899,56125,15430,2242,2092,908,1395,8102,5594,2370,2539,14650,5290,15374,9422,1510,2519,709,13,2,10962,4076,1743,591,287,7539,3049,1315,114,281,3152,2099,1415,300,61,824,563,238,0
Frontal Sup L.8,18,132,66,87,255,54,1421,936,253,802,316,44,209,262,184,184,10,9359,1661,964,18862,14131,567,1059,154,3810,1532,2777,6657,10937,2208,216,506,133,109,333,1125,606,377,1384,1299,3641,1226,241,268,226,4,0,270,1843,375,75,85,671,841,441,16,158,187,566,707,128,29,247,443,198,0
Frontal Sup L.11,17,136,54,82,292,33,1343,859,264,783,239,46,221,233,175,229,2,9247,1698,686,17427,12641,655,1075,76,3944,1655,2185,6084,10172,1927,233,578,93,76,393,1270,466,228,1311,1170,3470,1171,175,267,228,3,1,275,1768,254,114,74,636,811,331,21,161,201,585,614,140,26,265,409,191,0
Precentral L.10,31,551,219,246,2414,477,4844,6252,2978,4468,1908,394,2511,1104,1006,3304,306,53585,22702,16782,38938,88902,14969,10857,3352,28390,17186,29337,15102,65636,21871,1740,7337,2498,2042,9743,23630,5714,4776,9582,12096,36242,13661,2402,6553,2902,154,64,9088,15537,5455,4550,652,17139,12318,3086,811,1907,11494,11379,5023,2880,244,8036,3493,2676,0
Precentral L.12,34,592,319,242,2741,1158,5154,8868,3331,4460,2778,639,2465,1178,870,5199,1850,56523,35475,39571,37559,118153,18621,11634,9671,28362,16739,43015,15557,77341,29597,1819,13263,5693,3448,11164,24181,5671,8367,10913,11432,46235,14742,3484,10051,5554,204,102,10802,13797,7493,4217,789,17979,13288,4071,1312,3195,11754,9919,5485,3413,171,6866,2994,2001,0
Frontal Sup R.1,19,310,87,84,1034,117,3794,2410,2146,1530,446,120,700,236,170,1358,34,30033,6709,4120,40657,39313,6394,3673,527,24971,5176,6481,19124,33560,5160,2098,2651,476,802,7416,4973,1339,605,12830,5602,8246,7332,357,2158,657,14,15,10103,2973,627,837,77,6040,2174,450,205,302,3997,1754,663,368,19,1048,319,198,0
Supp Motor Area R.2,24,396,120,156,1369,161,4585,3041,2428,2633,802,170,1547,553,508,1831,44,34721,8208,5019,48907,46050,8108,6009,805,25553,7919,10207,21024,42115,7863,2168,3782,617,1977,7569,10635,3674,1330,14756,11316,14545,11146,773,3498,1168,22,42,9477,7109,1654,2263,265,11616,6878,1164,193,597,7846,5126,2190,843,73,4283,1244,1084,0
Frontal Mid R.8,11,154,21,34,610,9,2418,536,708,624,55,25,165,52,49,1043,0,25138,2010,293,24241,10989,3610,1676,13,10953,2325,869,14604,12407,627,1666,606,33,85,2097,1621,306,37,7280,1990,1285,2126,16,452,80,6,3,2018,903,43,193,9,1169,421,32,25,41,413,378,83,46,1,105,59,37,0
Frontal Mid R.12,28,461,222,156,1660,645,5202,6341,3040,2804,1609,291,1360,619,403,2210,612,44587,20372,24387,48610,97958,10979,6162,4843,32269,9019,24119,22717,65334,19912,2308,5458,2218,3807,10103,10531,3286,3625,16068,9150,25149,11981,1933,6181,2424,78,15,12717,6424,3214,1912,366,11631,6034,1859,749,1128,7529,4529,2197,1026,115,2638,1090,621,0
Frontal Sup R.8,17,138,64,72,297,55,1831,1008,383,692,303,46,208,189,133,236,14,13733,2247,1065,21706,18173,1194,1000,179,5907,1154,2769,10241,11974,2441,486,514,166,131,639,1028,430,289,2932,1898,3136,1433,270,364,203,4,6,617,1240,377,93,67,867,655,297,30,135,310,576,501,102,22,202,236,128,0
Frontal Sup R.11,16,130,59,61,235,75,1304,887,311,525,227,72,197,147,111,73,37,7770,1427,1447,16534,13065,661,443,213,4123,998,1649,5369,7301,1845,241,908,239,134,448,870,289,337,1442,1205,2067,821,110,444,307,3,9,354,905,266,108,64,583,584,152,50,186,293,477,309,138,13,187,204,115,0
Parietal Sup L.1,39,441,251,490,1425,324,4246,4723,1309,5933,2750,439,2612,2815,3250,1837,60,38860,12634,7176,34904,62173,5390,11172,2165,16033,14475,25397,12737,68529,23092,794,8182,1648,1635,3014,18825,9272,5614,4353,17166,47114,12336,4287,4682,5227,124,65,1836,36126,10194,3010,1480,11317,19260,7994,311,3522,5032,21076,19724,3877,961,10953,16003,13769,0
Postcentral L.2,44,439,341,605,1314,654,3015,6453,1113,7216,3955,368,2236,4450,4185,1774,325,25416,18490,16781,24688,71746,4853,14700,5011,9357,20637,41422,7293,71637,37868,438,5527,1907,1087,2197,15652,15154,11725,2898,8635,73015,13803,6089,2967,5316,74,72,1652,50448,13253,1637,3767,7203,22563,15192,225,3233,3240,20606,34184,3520,1961,8947,26414,17830,0
Postcentral L.3,45,343,345,645,903,581,3648,5035,832,6201,4226,277,1651,4640,4743,1016,198,30080,12392,11289,28407,64521,2866,11018,4620,10807,10974,34856,10999,75492,30959,552,4853,1385,1190,1489,10560,13082,10911,3283,14453,60232,11236,7379,2767,4286,57,66,970,47236,15870,1352,3459,6654,17686,15956,124,2868,2128,18742,37392,2127,1912,5695,29624,21674,0
Precentral L.1,41,462,269,551,1555,379,3321,5723,1262,7255,2905,341,2410,3544,3832,2325,96,29933,18634,10730,27157,65930,6017,16023,2529,11501,23098,33158,7683,70765,31609,605,5699,1355,1658,2817,18605,13052,6576,3271,10386,63296,14611,4276,3816,4570,83,41,1880,49661,9592,2180,2384,8992,21445,10249,219,2889,3669,22349,25802,3319,1281,9725,21859,16626,0
Supp Motor Area L.2,51,382,623,652,775,2578,3515,8681,1048,5919,8789,341,1909,5215,4243,569,3982,23418,18552,52608,30974,99710,2673,7680,31499,10943,10410,72432,11287,77720,58060,560,5148,3938,1817,1584,8025,14965,39007,4658,11980,72895,11939,18304,3958,5777,18,70,1800,37044,38356,740,5811,8228,20442,24978,341,2755,3219,17846,42620,2967,1693,7882,25956,17694,0
Parietal Sup L.5,47,366,401,680,1087,741,3141,6365,926,6673,5278,269,1630,5266,4930,1755,253,26018,19710,16469,24371,72562,4392,13646,6312,9858,13069,48933,7897,74351,45135,523,4807,1651,1000,2056,11060,15174,14791,2687,10331,73283,13144,10359,2289,4706,28,60,1326,49338,20911,1059,4177,6058,18793,21183,145,2533,2030,18211,43491,2164,2624,5649,32269,21995,0
Paracentral Lobule L.4,25,404,57,243,1465,11,4567,1162,2256,3568,340,275,2208,598,1351,1747,0,39725,2961,200,47424,14696,8314,7443,15,28540,7235,2811,15824,42471,2847,2036,4647,86,898,6990,15589,2605,149,10399,16397,8311,12064,136,4567,1477,82,7,6967,17751,962,3225,63,15513,5881,649,757,1424,8697,11874,2424,2445,123,8429,3090,5039,0
Parietal Sup L.7,41,544,360,460,1720,844,4279,8322,2242,6546,4186,654,2792,3136,2494,2387,453,37163,24951,24435,29032,105204,8107,14223,7397,18666,20706,51389,10800,80611,45285,837,10041,4642,1947,4745,17947,11717,13066,6154,14206,71150,17899,7116,6890,7038,123,196,5129,32543,14211,2376,2400,14469,22084,13274,1276,4827,9232,17734,20497,5493,1177,10331,13326,8353,0
Postcentral L.11,45,467,385,605,1417,891,3217,7727,1279,7319,4688,425,2326,4506,4105,2010,622,27521,22589,24430,23982,90222,5314,15433,7770,9948,20328,50429,7217,74872,48800,627,6793,2828,1252,2471,15476,14623,15563,2908,9101,80798,15100,7579,3202,5944,66,94,1880,49518,17039,1897,3831,7762,23132,16783,330,3828,4108,20804,35231,3748,1649,9033,25786,17142,0
