id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33,role_34,role_35,role_36,role_37,role_38,role_39,role_40,role_41,role_42,role_43,role_44,role_45,role_46,role_47,role_48,role_49,role_50,role_51,role_52,role_53,role_54,role_55,role_56,role_57,role_58,role_59,role_60,role_61,role_62,role_63,role_64,role_65,role_66
ParaHippocampal R.2,10,40,28,17,53,32,193,203,29,83,54,10,27,20,14,30,15,773,235,338,1363,1188,52,88,58,179,73,243,186,576,175,15,94,23,25,24,89,32,46,35,122,178,35,7,26,23,1,0,6,80,34,4,2,38,33,7,2,10,9,17,26,16,0,17,11,4,0
Temporal Pole Mid L.1,8,21,17,11,22,8,94,91,22,44,33,2,4,12,3,13,0,336,101,67,477,476,32,34,11,114,28,138,81,299,92,12,11,1,3,29,12,11,16,29,8,59,33,14,14,9,0,0,14,18,9,1,2,10,7,12,0,1,2,3,4,0,1,0,1,0,0
Temporal Pole Sup L.4,4,13,3,3,10,0,55,19,7,16,3,0,2,0,1,1,0,179,14,0,210,103,5,9,0,34,14,16,60,83,9,2,0,0,0,4,7,0,0,4,3,2,8,0,4,0,0,0,2,6,1,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0
Fusiform L.5,6,18,9,6,12,4,85,50,9,22,9,2,7,6,1,1,0,227,31,30,471,303,5,8,4,53,17,31,108,122,23,7,13,3,3,5,16,3,2,14,30,30,8,1,3,4,0,0,2,7,1,0,2,8,13,3,0,0,1,0,2,1,0,1,0,0,0
Temporal Pole Mid L.2,6,29,11,4,59,8,105,112,32,17,9,6,2,2,1,71,2,624,251,116,539,622,90,2,6,147,15,27,104,176,69,6,51,13,5,36,4,6,4,35,1,10,12,0,21,10,0,0,12,5,2,0,0,5,1,0,1,0,0,1,1,1,0,0,0,0,0
Hippocampus L.1,13,96,57,21,163,107,1085,830,351,164,136,10,69,34,9,97,92,6146,1421,2255,11854,11492,490,188,281,4815,142,995,5712,4805,1000,223,150,69,33,619,161,75,115,2367,680,861,416,67,85,22,0,0,1013,57,59,47,25,437,85,52,2,9,212,43,19,6,0,32,4,1,0
Temporal Mid L.14,7,40,14,7,69,8,252,154,47,54,20,1,15,6,1,57,0,1275,266,127,1537,1295,93,63,11,367,88,144,399,536,105,47,12,3,11,47,74,17,10,127,80,89,46,5,9,2,0,0,20,10,2,1,0,38,22,5,0,0,13,1,2,0,0,3,0,0,0
Temporal Pole Mid R.5,12,59,41,25,111,59,293,421,44,136,92,14,32,49,20,97,37,1657,820,908,2103,3047,137,142,124,282,185,425,555,1051,567,22,159,59,28,27,123,89,118,86,99,441,63,9,33,53,0,0,13,119,53,12,17,31,92,51,3,10,8,27,47,13,5,13,28,6,0
Frontal Sup L.1,8,84,17,11,240,10,724,334,263,86,32,26,58,8,6,308,0,5745,777,314,5641,4613,762,145,21,2784,98,241,2266,2138,346,147,394,32,24,538,338,10,8,922,320,210,83,8,109,13,2,0,623,48,16,72,0,145,22,8,16,46,84,23,6,20,0,28,2,1,0
Frontal Mid L.4,22,147,152,79,317,429,1029,2045,258,636,756,38,165,241,114,259,528,6051,4355,8357,7183,20957,772,934,2219,2414,1060,6014,2007,8024,5333,138,478,373,103,295,760,509,1474,812,811,4117,906,669,147,216,3,2,254,859,857,141,127,415,600,593,12,77,171,388,545,55,6,114,212,85,0
Supp Motor Area L.3,9,85,22,14,375,18,702,386,329,202,40,16,30,20,6,991,4,6229,1748,381,4965,4836,2557,835,27,2827,347,567,1921,3231,350,306,211,47,32,1349,286,115,34,1227,131,414,787,11,78,21,0,2,979,77,9,15,4,158,45,14,15,21,26,28,19,9,1,4,2,1,0
Paracentral Lobule L.2,20,192,53,137,539,39,1536,807,738,1561,257,74,566,323,521,786,5,9627,1962,769,10503,7831,2215,3760,125,6023,1839,2491,3686,13468,1548,428,1009,106,210,1585,3137,1098,360,2462,2969,4282,4119,34,1099,285,9,4,1641,5809,655,395,33,3510,1541,227,107,390,1539,3105,844,427,84,1165,1277,1201,0
Frontal Mid L.8,11,77,19,36,156,10,626,246,130,352,39,9,77,63,53,138,1,3855,437,174,4674,2510,312,540,12,1052,757,336,1393,3244,224,58,119,17,30,130,438,203,31,430,563,706,453,6,54,32,1,0,149,551,19,37,21,275,213,26,5,22,61,216,93,7,6,50,74,41,0
Frontal Mid L.11,10,63,24,21,103,20,683,293,93,162,49,9,47,34,17,61,5,4193,498,357,5676,4050,189,188,33,1144,280,320,2416,2168,333,58,122,21,18,97,161,112,50,370,416,383,137,6,47,16,0,0,57,134,26,16,4,138,77,16,3,16,52,57,43,13,8,28,13,6,0
Frontal Sup L.8,15,110,52,53,272,67,751,792,239,512,165,22,96,145,78,260,31,4900,1991,1477,5703,8094,790,910,175,2043,1016,1474,1429,5407,1332,117,304,94,19,397,588,394,245,564,430,2124,854,51,81,103,2,2,297,818,109,60,85,366,388,161,8,42,110,241,287,30,9,49,154,58,0
Frontal Sup L.11,16,118,59,61,242,72,747,887,250,561,221,18,143,168,99,181,40,4308,1898,1513,5565,8676,644,820,199,2015,1116,1831,1288,5604,1783,92,170,119,40,346,678,482,290,527,630,2492,828,109,117,55,0,1,282,928,212,63,88,466,552,236,13,34,191,355,351,33,12,121,204,79,0
Precentral L.10,11,120,37,18,482,48,1170,780,523,252,81,26,58,27,9,1111,27,10367,2928,1316,7839,10792,2901,916,97,5376,442,1101,3647,5225,910,438,470,139,156,1622,617,112,77,2541,369,720,885,29,304,53,3,1,1574,119,32,47,5,431,113,31,27,23,180,48,26,6,0,12,5,1,0
Frontal Sup L.2,19,116,84,87,183,88,819,1025,159,643,456,14,196,252,173,113,16,4164,1603,1512,5260,10074,311,704,354,1272,1086,3126,1466,5825,2868,86,164,73,66,131,744,550,547,435,1176,3327,587,460,149,68,0,0,103,1320,639,76,89,456,791,526,1,27,162,530,685,56,17,226,364,179,0
Parietal Inf L.1,16,161,80,40,568,177,1213,1460,322,575,250,46,144,89,44,976,195,11022,4647,4288,9886,17002,1829,1557,552,2977,1732,3392,3109,7404,2088,263,766,324,106,554,1478,428,382,935,765,2122,966,98,260,162,9,9,297,687,207,137,35,571,454,106,17,53,139,278,157,47,6,83,60,22,0
Frontal Mid L.1,6,57,6,9,201,0,390,103,108,110,7,10,26,10,3,334,0,3723,341,0,2972,955,627,267,0,846,283,63,759,954,67,50,196,0,11,199,207,43,0,265,118,138,133,0,80,13,1,0,121,35,1,30,0,90,45,7,4,15,22,12,4,7,1,3,2,0,0
Frontal Mid L.3,13,83,46,32,207,56,747,530,100,254,141,25,81,56,33,261,14,5461,1148,898,5825,6274,441,450,185,1003,310,962,2449,2928,724,70,411,81,28,95,450,153,107,416,581,857,221,74,66,82,4,0,77,252,104,73,27,207,156,57,4,56,49,126,104,21,2,55,21,20,0
Parietal Inf L.5,12,118,36,30,347,43,943,640,252,396,82,28,103,67,28,394,17,7266,1754,995,7407,7682,984,815,94,2392,1312,991,1908,4676,683,139,416,106,27,392,823,287,80,732,645,1172,598,31,150,50,2,1,277,412,29,77,51,401,318,37,16,53,104,139,105,42,1,54,41,9,0
Angular L.2,21,166,143,67,377,404,1274,2213,309,675,657,40,176,191,78,355,490,7788,4873,8819,9991,24934,795,1106,2009,2960,1509,6378,2869,9235,5199,200,580,407,81,432,973,597,1173,986,1101,4061,930,592,235,188,5,2,259,815,631,113,121,602,609,422,16,77,202,316,357,52,17,108,138,35,0
Frontal Mid L.5,15,123,69,36,318,116,849,1088,237,394,237,21,99,75,27,368,65,5812,2797,2593,5084,11427,888,670,406,1897,977,2475,1727,4754,1838,121,298,119,90,353,644,260,299,612,503,1519,577,155,125,86,6,2,223,335,150,70,21,337,278,137,1,26,107,117,90,23,8,49,26,8,0
Frontal Sup L.5,22,116,124,107,157,217,758,1356,179,732,725,19,155,379,219,88,98,3392,1797,3478,4734,12078,284,757,1116,1361,982,4960,1364,6974,4082,89,222,133,78,183,525,638,1302,422,742,4526,864,735,143,174,0,0,125,1617,1019,43,197,407,728,906,5,30,157,525,1130,32,46,142,526,240,0
Frontal Mid L.9,17,119,86,50,271,168,860,1162,206,470,332,31,105,122,58,267,115,5545,2469,3276,6658,12145,583,839,680,1961,1117,2868,2208,5445,2184,135,416,156,45,300,578,405,481,655,504,2070,729,202,92,164,1,1,235,560,286,70,51,343,326,220,5,70,79,205,220,28,9,58,79,37,0
Frontal Mid L.10,13,107,47,31,243,60,765,732,257,354,139,22,77,59,28,191,25,4626,1565,1293,5002,7563,683,599,163,2102,849,1462,1505,4129,1007,115,331,95,99,437,447,206,154,623,378,1142,669,67,184,87,0,0,330,371,88,44,20,359,175,71,9,25,107,123,82,22,2,32,31,12,0
Frontal Mid L.12,15,101,49,56,157,37,745,603,164,515,195,12,136,136,87,88,6,3606,838,659,4995,6033,251,572,92,1354,1230,1504,1477,4665,1109,95,144,34,72,135,509,514,199,528,802,1683,709,137,111,58,0,1,150,807,175,89,37,345,513,187,1,23,151,374,311,27,8,113,147,66,0
Frontal Sup L.7,17,122,61,75,235,74,735,900,220,652,243,25,175,207,156,204,32,4022,1691,1538,4441,8317,526,807,239,1556,1223,2012,1203,5921,1843,90,324,118,81,270,888,344,315,437,725,2948,832,120,158,126,2,2,205,1430,269,62,115,464,700,227,5,44,179,554,553,64,9,170,321,180,0
Frontal Mid L.13,13,114,54,24,308,96,823,845,225,281,130,34,87,46,14,351,75,6100,2082,2026,5705,9039,741,535,242,2191,885,1281,1672,3653,915,124,526,165,62,369,557,226,145,649,479,990,451,58,159,96,8,9,195,156,51,68,31,281,251,42,7,38,113,77,57,20,1,32,10,3,0
Frontal Mid L.14,12,105,25,41,273,15,665,481,252,448,65,8,105,75,65,277,2,4646,1233,455,4908,4894,781,851,26,2027,1042,625,1033,4285,676,89,123,15,44,468,703,191,52,479,437,1326,700,14,104,31,0,0,349,734,47,58,23,383,302,52,2,11,137,282,128,20,0,63,97,54,0
Parietal Inf L.9,20,179,119,71,510,263,1277,2078,347,901,565,37,174,223,89,714,215,9682,5580,6479,10455,23592,1392,2067,1208,3099,2334,6937,3313,10716,5069,238,563,282,65,558,1461,1023,1078,985,765,4318,1370,504,269,211,6,0,322,1300,527,95,117,690,741,490,6,80,168,398,456,66,30,99,175,45,0
Frontal Sup L.9,15,114,48,57,196,37,752,707,237,549,187,14,156,139,92,129,6,3783,1114,801,4607,6753,449,672,94,1749,1243,1674,1334,5202,1306,86,181,40,92,272,741,390,192,562,740,2015,803,114,128,86,1,0,250,897,181,51,40,567,578,188,5,21,182,361,297,30,16,160,161,76,0
Frontal Sup L.10,13,122,44,34,314,44,841,784,281,400,141,28,112,70,31,277,16,5621,1870,1041,4958,8394,899,707,101,2158,1027,1526,1610,4368,1241,123,436,93,144,433,744,232,154,724,491,1414,663,84,220,109,1,3,346,394,88,70,20,477,309,98,10,32,165,140,104,46,3,52,35,12,0
Frontal Sup Medial L.5,18,115,73,80,198,92,729,921,188,636,327,25,174,238,159,165,28,3648,1601,1663,4672,8365,439,689,331,1348,1106,2437,1254,5716,1952,88,334,122,69,219,741,422,470,424,817,3115,781,230,137,144,0,1,155,1342,360,64,136,435,726,331,5,45,171,507,641,67,18,186,338,177,0
Supp Motor Area L.2,37,246,409,257,512,1969,1228,4423,452,2067,3518,260,923,1372,911,440,4634,7101,7823,27954,7834,32229,1339,2750,17345,2764,3370,24928,2252,18627,14515,200,2188,2762,509,673,4549,3702,12350,824,2107,20375,2767,4217,1291,2355,34,47,391,6744,9327,770,1370,2534,5667,4344,146,1418,1211,4095,6685,1484,291,2539,3483,1999,0
Supp Motor Area L.4,8,97,16,12,516,8,712,356,466,231,28,6,40,16,4,1318,1,7285,1710,268,4551,4307,3600,1139,8,3824,668,423,1712,3216,290,510,139,12,20,2005,388,163,18,1835,169,366,1160,8,61,16,1,0,1437,88,5,132,2,197,99,15,0,2,132,35,11,5,0,1,2,0,0
Supp Motor Area L.5,12,113,38,28,273,36,774,619,254,292,113,26,140,46,25,185,7,5544,1276,763,5086,6651,766,380,87,2110,765,1048,1798,3193,778,95,352,78,78,361,797,131,117,520,628,989,427,56,168,86,2,1,287,219,72,143,5,482,309,57,7,25,227,148,55,49,1,102,27,11,0
Supp Motor Area R.2,6,95,9,6,530,5,692,206,526,159,8,2,53,5,2,1594,1,7371,801,139,4538,2357,3689,823,2,4520,547,207,1765,2054,42,491,40,3,14,2033,696,87,6,2048,185,114,778,0,66,1,0,0,1665,33,2,146,1,364,67,0,0,1,244,37,2,2,0,12,1,0,0
Parietal Sup L.1,31,232,209,256,530,450,1480,2775,435,2167,1737,171,838,1237,1071,708,312,9192,5391,7826,9404,25026,1381,3676,2916,3648,3507,12348,2452,17857,11109,251,2098,1167,536,591,4377,3138,4681,866,3745,15485,2524,2033,1361,1528,14,19,339,8629,4574,537,839,2572,5456,2833,103,828,932,4542,5922,982,301,2163,4362,2692,0
Paracentral Lobule L.1,20,220,44,146,736,5,1510,679,667,1595,188,120,833,401,546,1241,0,11403,1844,68,10240,5520,2689,3455,6,5859,2900,1213,2830,11701,1162,425,1692,44,182,1432,5532,1248,38,1803,3956,4523,2861,80,1127,472,56,5,1025,5543,270,974,35,3571,2588,404,143,542,1777,3289,1170,861,129,2097,1505,1208,0
Postcentral L.3,35,168,246,349,322,483,938,2366,197,2324,2251,78,433,2167,1644,374,265,5160,4165,6650,6279,17766,546,3541,3248,1578,3180,13355,1726,16224,11161,101,836,547,173,177,2264,4846,6053,448,1562,19227,2162,2951,480,1035,6,3,117,12433,5523,189,1847,805,4267,6368,19,512,236,3475,12321,348,821,750,8544,4419,0
Parietal Sup L.5,37,174,309,357,301,820,994,2885,215,2183,3017,110,488,2321,1612,319,646,5131,4348,10797,6634,22440,532,3187,6561,1830,2664,16839,1776,16219,14592,81,1118,913,224,197,2172,4447,9854,479,1762,20718,1978,4339,606,1373,8,21,128,10758,7859,178,2320,977,4639,7722,25,668,273,3186,13371,593,795,1009,8367,4211,0
Precentral L.3,22,221,61,170,522,33,1710,914,598,1747,298,126,864,525,684,454,4,11689,1543,617,10866,8417,1546,2443,78,5894,3727,2077,2939,13750,1976,446,1594,146,362,1056,4565,1605,283,1722,5405,5759,2800,199,1495,577,15,9,703,6339,417,776,172,3433,3152,495,124,593,1573,4086,1903,860,89,2256,2012,1663,0
Paracentral Lobule L.4,13,161,11,67,502,0,1626,178,679,820,18,57,410,85,183,1092,0,10455,456,0,10370,1638,2505,2265,0,6083,1154,134,5545,7059,101,423,873,0,124,1127,2270,262,0,4071,3198,1037,1897,1,983,68,10,0,1708,2218,9,275,0,2744,429,21,151,213,1117,1091,107,282,14,758,269,294,0
Paracentral Lobule L.5,20,190,42,148,526,7,1468,589,712,1641,168,85,605,399,566,759,0,9256,1450,81,10022,4678,2032,3773,9,5978,2162,1239,3336,13227,915,378,1076,30,195,1510,3277,1392,60,2196,3109,4350,4030,52,1110,350,19,4,1495,6215,211,435,41,3486,1958,365,128,463,1624,3225,1147,527,125,1284,1538,1297,0
Precentral L.6,22,202,71,160,480,26,1779,853,620,1395,428,180,817,486,600,469,3,11392,1804,268,11443,7348,1750,2034,62,6068,1611,2444,3391,12589,2029,449,2302,125,423,1315,3754,1243,281,1979,5723,4891,2522,368,1570,783,30,30,904,4731,869,713,77,3526,2462,762,201,937,1716,3219,1843,1013,67,2115,1622,1361,0
Precuneus L.7,22,244,118,113,727,246,1635,1970,981,1426,600,186,678,422,272,950,220,11363,4513,5051,9921,17340,3301,3388,1094,6445,2817,5844,3801,15759,3812,437,2157,856,592,2454,4351,2077,1264,2613,2461,7096,3527,379,2150,920,37,31,2246,3176,837,701,342,3751,3028,640,300,663,2091,1826,1377,799,55,1215,737,370,0
Precuneus L.8,26,221,112,213,659,105,1326,1496,502,1927,738,205,846,897,860,903,22,9242,3904,1655,9462,11309,1866,3903,433,4021,2968,4627,2230,14216,4723,329,2648,442,282,955,4972,2485,1082,1133,3598,9531,2795,588,1323,1342,69,66,513,7520,1473,893,379,2581,4399,1707,180,1052,1404,3940,3759,1246,266,2156,3208,2033,0
Precentral R.1,25,201,90,210,566,42,1363,1134,534,2020,565,107,728,814,879,802,4,9176,3059,604,9320,8634,1995,4181,98,4211,3025,4023,2369,15343,3026,315,1361,133,272,974,4424,2789,524,1320,3305,8448,3528,436,1136,723,13,11,669,8397,1102,507,188,3097,3652,1455,82,575,1351,4136,3226,762,255,1829,3219,2143,0
Supp Motor Area R.1,32,230,277,219,484,999,1377,3117,584,1821,2098,251,845,1117,746,371,1739,7774,5648,14361,9213,24035,1445,2699,7196,3933,2416,14067,2650,17758,9149,272,2312,1880,527,1076,3688,3492,6515,1149,2886,14303,3197,1915,1606,2092,53,93,797,5582,4941,663,1108,3026,5332,2940,265,1172,1760,3369,5057,1378,237,2076,2806,1506,0
Supp Motor Area R.3,20,189,51,139,522,32,1504,680,722,1535,238,81,607,346,524,724,4,9360,1560,473,10537,5812,2195,3490,91,6031,1701,2077,3325,13106,944,415,1085,74,171,1592,3297,1263,281,2317,3278,4104,3984,44,1068,328,13,4,1570,5535,519,457,65,3528,1760,303,139,407,1584,3091,963,516,75,1311,1287,1213,0
Precentral R.5,12,170,9,57,642,0,1461,168,773,746,14,60,418,62,144,1462,0,10981,475,0,9873,1393,3125,2091,0,6689,1118,113,4527,6109,89,535,909,0,102,1951,2935,138,0,3400,2471,893,1959,0,844,61,34,0,2036,1815,8,454,0,2557,357,15,165,190,1303,982,72,281,7,711,178,215,0
Postcentral R.11,21,210,60,150,634,27,1545,902,740,1532,293,138,745,473,537,806,1,11478,2726,461,10124,6731,2617,3158,58,6032,2227,1922,3062,12800,2006,405,1950,120,271,1940,3890,1376,254,1716,3865,5559,3339,152,1495,537,27,22,1324,5199,430,878,112,3509,2673,601,152,668,1906,2972,1550,861,118,1715,1575,1134,0
Precentral R.7,33,167,206,322,319,322,1062,1881,210,2253,1779,87,518,1862,1493,371,146,5788,3291,3938,7199,14684,579,3296,1864,1768,3312,10155,2021,16327,7662,137,1001,472,174,193,2584,4983,4074,527,2630,15570,2290,2102,564,966,9,11,113,11595,4260,213,1274,1189,4481,5176,11,541,324,3886,9954,513,750,1166,7352,3968,0
Postcentral R.12,31,237,232,233,554,624,1276,2870,569,2080,1820,211,869,1216,835,466,705,8224,5657,10069,7988,21794,1588,3350,4288,3847,3445,12593,2271,17270,9269,206,2018,1396,596,1004,4504,4093,5046,939,2444,15599,3333,1797,1468,1894,35,23,643,6905,4233,751,1030,2832,5483,3415,172,1035,1608,4027,5575,1137,358,2212,3250,1768,0
Postcentral R.13,19,230,41,130,729,16,1536,709,752,1525,164,131,822,321,468,859,0,12103,1678,284,10516,6183,2547,2925,33,6563,3444,1148,2944,10651,1227,413,1903,119,321,1849,5084,947,123,1848,3670,3990,3084,56,1465,461,47,11,1249,4798,215,1049,67,3558,2351,258,146,587,1982,3361,927,743,49,1883,1123,1025,0
Precentral L.12,8,95,20,8,282,20,988,450,412,121,26,12,35,8,2,252,7,8096,1338,637,7375,6357,1365,207,27,5033,366,343,3174,3066,270,317,251,36,100,1066,262,39,18,2220,282,269,377,3,168,28,0,0,1199,29,4,8,0,283,48,5,21,1,107,13,6,7,0,3,0,0,0
Frontal Mid R.12,11,101,38,17,253,56,884,742,301,170,75,3,46,24,10,251,37,6275,1950,1635,8446,9718,950,248,106,3223,376,747,2810,3678,883,162,37,17,77,543,257,83,84,1024,280,522,348,18,38,8,0,0,437,82,34,25,4,168,81,14,0,0,103,46,18,2,3,11,10,2,0
Frontal Sup R.2,18,113,63,90,171,47,714,841,188,746,312,12,155,243,214,92,6,3352,1259,915,4430,7885,304,814,150,1433,1399,2430,1184,6189,2223,75,143,45,67,198,595,567,332,422,693,3197,941,230,108,76,1,0,156,1987,450,71,49,463,644,366,2,30,121,587,714,36,24,143,455,284,0
Frontal Sup R.11,16,111,57,63,207,63,723,723,200,494,234,34,190,141,122,133,27,3829,1151,1093,4740,6492,443,506,191,1602,882,1657,1189,4711,1311,73,489,101,48,283,892,210,301,394,956,2061,630,116,141,123,3,8,169,1000,297,127,28,521,528,172,4,72,178,420,359,99,5,238,183,141,0
Precentral L.4,19,266,85,86,1164,130,1678,1822,1049,1346,442,115,695,171,226,2048,72,15441,6792,3517,9653,17085,5804,3538,596,6965,4428,5987,3264,13597,3022,642,2173,479,325,3126,6192,748,567,2310,2624,5740,3007,249,1423,470,42,14,2127,3259,939,1321,33,3865,1476,250,147,370,2239,2096,433,358,15,1342,322,400,0
Precentral L.11,24,255,106,170,744,161,1596,1772,693,2155,653,122,847,543,667,899,93,11825,4074,3486,8988,16050,2668,4255,719,4660,5723,7136,2766,16136,4053,366,1620,443,529,1112,6076,2386,1308,1614,3219,8810,3897,299,1639,777,14,15,943,7869,1712,780,263,3871,3433,731,92,510,1528,4522,1865,681,75,2075,1907,1654,0
Precentral R.11,14,209,50,41,807,66,1825,1352,942,717,175,35,289,52,71,1303,34,16074,5095,2456,10833,18244,4098,1795,207,8522,2519,2897,4885,11137,2061,710,706,156,263,2690,2408,230,171,3911,1848,2168,2002,66,741,134,4,3,2569,1189,250,334,5,2283,470,33,38,42,1011,634,89,56,0,340,71,75,0
Frontal Sup Medial L.3,15,124,50,55,233,40,767,810,264,522,214,22,180,102,99,129,4,4143,1404,917,4509,7767,564,570,131,1956,1228,1801,1228,5124,1733,84,314,74,88,335,852,221,181,547,810,1919,800,145,152,115,3,0,254,980,291,109,21,550,428,142,9,32,231,451,207,52,4,175,133,106,0
Frontal Sup R.7,17,104,47,89,156,9,675,609,163,771,228,6,136,222,221,79,0,3036,944,182,4175,5708,293,832,14,1133,1527,1888,1184,5977,1505,60,75,11,47,147,543,584,68,431,674,2779,1002,190,88,37,1,0,142,2158,326,61,30,400,534,325,0,26,93,648,640,14,25,109,460,302,0
Frontal Mid R.15,14,103,33,58,175,19,704,495,212,546,113,10,139,113,119,79,0,3691,870,439,4610,4998,403,583,44,1630,1264,908,1236,4717,868,67,129,17,48,250,641,310,103,538,719,1581,834,31,89,47,0,0,240,1214,127,45,18,459,401,96,7,23,165,440,252,31,9,136,177,144,0
Frontal Sup Medial R.3,18,134,76,77,251,103,755,1173,266,667,357,37,182,193,163,192,48,3887,2248,2335,4597,10466,612,723,390,1790,1368,2760,1122,6411,3021,71,460,222,108,358,771,407,521,500,731,2993,929,209,243,191,6,3,244,1530,546,77,52,499,687,306,16,64,196,546,447,70,15,174,326,200,0
Frontal Sup Medial R.5,19,116,82,89,187,104,703,1011,193,715,414,23,158,254,197,76,38,3316,1569,1847,4511,8965,408,738,417,1269,1218,3134,1115,6175,2553,86,296,122,36,199,708,586,615,488,681,3333,988,269,128,148,0,1,166,1715,625,78,63,424,656,463,5,45,121,552,683,53,31,160,422,250,0
Supp Motor Area L.1,12,82,44,22,148,52,671,540,183,196,127,17,66,30,11,73,14,4237,884,823,4640,5784,415,202,143,1562,377,1041,2159,2668,723,61,204,71,37,318,349,93,125,500,388,590,358,85,99,61,1,0,244,108,56,40,1,254,108,38,8,9,102,58,23,24,2,25,6,2,0
Frontal Sup L.6,10,89,23,22,184,15,606,361,209,242,58,14,85,23,24,103,2,3594,643,313,4181,3459,496,283,23,1666,643,567,1116,2329,395,58,213,33,64,307,405,83,49,550,527,461,458,22,106,40,3,0,239,261,48,90,2,276,121,4,2,12,148,133,22,20,1,54,25,12,0
Frontal Sup R.6,21,127,109,101,213,173,768,1397,207,739,613,28,174,326,218,117,93,3709,2337,3252,4585,12203,453,826,809,1376,1051,4356,1259,6927,4232,65,329,202,134,231,719,561,983,475,780,4542,850,592,174,168,1,1,166,1727,901,69,141,495,684,663,3,64,147,529,1053,70,27,169,461,262,0
Frontal Sup R.10,19,144,101,70,249,180,872,1428,268,584,494,53,237,189,106,128,100,4379,2202,3457,4849,13021,500,587,820,1962,1261,3699,1379,6292,3362,71,609,322,161,328,1012,396,786,540,1101,3396,704,426,284,336,5,6,219,840,569,131,54,643,869,427,18,63,275,403,427,121,11,260,162,94,0
